split,val_selected_individual,val_selected_acc,val_selected_bacc,val_selected_macro_f1,val_selected_auroc,val_selected_ece,best_acc,average_acc,std_acc,best_bacc,average_bacc,std_bacc,best_macro_f1,average_macro_f1,std_macro_f1,best_auroc,average_auroc,std_auroc,best_ece,average_ece,std_ece
train,PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__301,0.5268234143739722,0.5308999160803586,0.500497908741519,0.798681167438551,0.2623093821167332,0.5268234143739722,0.5268234143739722,0.0,0.5308999160803586,0.5308999160803586,0.0,0.500497908741519,0.500497908741519,0.0,0.798681167438551,0.798681167438551,0.0,0.2623093821167332,0.2623093821167332,0.0
val,PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__301,0.534186325469812,0.5396465292174346,0.5079621747734637,0.7995296676007827,0.2715292187660949,0.534186325469812,0.534186325469812,0.0,0.5396465292174346,0.5396465292174346,0.0,0.5079621747734637,0.5079621747734637,0.0,0.7995296676007827,0.7995296676007827,0.0,0.2715292187660949,0.2715292187660949,0.0
test,PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__301,0.6004178272980502,0.5473204076795257,0.5130489041717899,0.853599123673464,0.2565365484923976,0.6004178272980502,0.6004178272980502,0.0,0.5473204076795257,0.5473204076795257,0.0,0.5130489041717899,0.5130489041717899,0.0,0.853599123673464,0.853599123673464,0.0,0.2565365484923976,0.2565365484923976,0.0
