individual,acc,bacc,macro_f1,auroc,ece
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1,0.5137006089159518,0.5081346400976763,0.4950028302566434,0.8269644957141815,0.2795299180181248
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__101,0.30108004800213345,0.3092325489522218,0.1926147027225839,0.6913779188671694,0.11369794928433592
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__102,0.4345304235743811,0.4496261666713246,0.33298449826242527,0.7820876214938459,0.19904690573261866
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__103,0.3686052713453931,0.3719582827923922,0.2715073432766623,0.6757777957839943,0.15989578739265708
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__104,0.37089426196719855,0.37250143322368096,0.2893210464297013,0.7035117109422205,0.16391010718492943
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2,0.4838659495977599,0.5056058943011709,0.4450658939202877,0.7740457932367208,0.20030531382243005
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__201,0.5057113649495533,0.5294841222465266,0.4582786472717173,0.8138559024533184,0.14120319284130506
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__202,0.35624916662962797,0.3645544317212852,0.277282356683776,0.7510183698010203,0.10131690081086316
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__203,0.36393839726210053,0.3580342200457958,0.2886499897539347,0.6414653410804997,0.18673245705851896
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__204,0.363205031334726,0.3683037790698546,0.25500066159986584,0.7170793359004609,0.16702216225820377
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3,0.3910840481799191,0.3985013261061232,0.3169688833549103,0.717104508432479,0.2022249005253588
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__301,0.5268234143739722,0.5308999160803586,0.500497908741519,0.798681167438551,0.2623093821167332
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__302,0.37454997999911105,0.3784680583304113,0.2995056081688081,0.7044917297259627,0.18144096927289782
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__303,0.4513311702742344,0.4703448518175951,0.36699824890381666,0.8093343645723026,0.15297961351388967
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__304,0.2582003644606427,0.26675061708290404,0.18980346771528656,0.6754246837272555,0.07724916316581101
PathMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4,0.5625138895062003,0.5404323376797819,0.4698671467859294,0.815851052816448,0.3928937738317358
