epoch,loss,val_loss,accuracy,val_accuracy,balanced_accuracy,val_balanced_accuracy
0,2.4080819433318856,2.4232620451362634,0.07452793834296724,0.08319397993311037,0.08807086375368783,0.10319082731645612
1,0.8441628325996142,0.14816040169435202,0.747514450867052,0.9669732441471572,0.7390345851987714,0.9495346231493353
2,0.16945696192842,0.08981105313950956,0.9480539499036609,0.9790969899665551,0.9374098244484312,0.9706718562719268
3,0.07415171709650974,0.06912112393008427,0.9789595375722543,0.9857859531772575,0.9744187800097407,0.9854754621230079
4,0.04475903725125944,0.06345058243759101,0.9879768786127168,0.987876254180602,0.9856491728841313,0.9885314967121809
5,0.03031633678967266,0.07077871765131535,0.991907514450867,0.9857859531772575,0.9898570802780715,0.9865049567579292
6,0.02715401012888304,0.06237835893064837,0.9929865125240848,0.9874581939799331,0.9909242828413032,0.9892270077164984
7,0.021995449700268965,0.05398355618144158,0.9946050096339114,0.9882943143812709,0.9929080293798741,0.9898636104319052
8,0.01308049390729524,0.05904663101237354,0.996840077071291,0.9882943143812709,0.996515276204306,0.9901068332655346
9,0.00965280001276031,0.07000231275640204,0.9976107899807322,0.9870401337792643,0.9974105593362829,0.9893639480666075
10,0.011231021252326194,0.06475249371401044,0.9963005780346821,0.9887123745819398,0.9960402167471535,0.9901530483513963
11,0.015084304254006788,0.07725532532336321,0.9963005780346821,0.9841137123745819,0.9951827429120613,0.9835711017155746
12,0.013187014161463763,0.07063978073190287,0.9964547206165704,0.9845317725752508,0.9957273631221302,0.9854876523862043
13,0.01311606768324885,0.05888201300690206,0.9966088631984585,0.9882943143812709,0.9959811374657138,0.9893456007174731
14,0.014572522781200721,0.06043523888922854,0.9963005780346821,0.9862040133779264,0.9954820773846684,0.9884841225175713
15,0.004352307662723123,0.05636199001833348,0.9987668593448941,0.987876254180602,0.9984901439578209,0.9896472674434258
16,0.007214786790935807,0.052264640718249974,0.9983044315992293,0.9908026755852842,0.9976526902504717,0.9923615232811944
17,0.00568563735999009,0.05162252878215799,0.9983815028901734,0.9874581939799331,0.9984158660737521,0.9887646587556458
18,0.009560750466327296,0.053250021784002566,0.997533718689788,0.9891304347826086,0.9970064514021033,0.9915116208659254
19,0.0077937284572075095,0.0453715608719998,0.9980732177263969,0.9903846153846154,0.9981103080694921,0.9923238770575886
20,0.0052256445229225765,0.04400513594639939,0.9983044315992293,0.9891304347826086,0.9981334108928904,0.9912583143596442
21,0.004417857231791194,0.05866786421441713,0.9986897880539499,0.9882943143812709,0.9988371282417812,0.9909950919403056
22,0.0026451967493989837,0.06751641697159978,0.9992292870905588,0.9874581939799331,0.9991211853745483,0.9901415245937812
23,0.012880872065723588,0.059506870557033895,0.9970712909441233,0.9891304347826086,0.9959618382350626,0.9918191330055979
24,0.0051285432152780265,0.05280210976068391,0.9989980732177264,0.992056856187291,0.9987572716444444,0.9940369832336202
25,0.008649106833084284,0.05530288133982033,0.9976107899807322,0.9908026755852842,0.997156247420861,0.9932760401584771
26,0.005374388215428143,0.05008940843485271,0.9986127167630058,0.9908026755852842,0.9984363611233378,0.9929531272120694
27,0.0040531344303362405,0.07492143657046019,0.9985356454720616,0.9887123745819398,0.9982049390771587,0.9875884319155381
28,0.005740459577139173,0.06466165173761422,0.9984585741811175,0.9887123745819398,0.998265105521885,0.9893060691490011
29,0.002847205539286022,0.05542600411535505,0.9992292870905588,0.992056856187291,0.9992202154214184,0.9944862322747853
30,0.003010664616472775,0.05487762041464697,0.9990751445086705,0.9899665551839465,0.9992225598183779,0.9919410664716272
