epoch,loss,val_loss,accuracy,val_accuracy,balanced_accuracy,val_balanced_accuracy
0,1.3924248599178901,1.3920642616477639,0.4321121905680314,0.4369460856720827,0.2825369738084818,0.29010031900875
1,0.25121503720537686,0.15468802880853458,0.9234383495593832,0.9498707533234859,0.9100974079902074,0.9493707208258672
2,0.14013065656702445,0.13626353816848738,0.9570052422622772,0.9634416543574594,0.9526783470096326,0.9579001431935752
3,0.10888776220825724,0.11771246887182203,0.9655713655528997,0.9712887740029542,0.962929357282189,0.9635394929075892
4,0.08705796317217361,0.12383993617100765,0.9711932045508171,0.9715657311669128,0.9705168302927106,0.9646961217452291
5,0.07574464385074942,0.13198723875679505,0.9745375832247607,0.9749815361890695,0.9746991777908982,0.9625056634708306
6,0.060607850985981024,0.13416315954140054,0.9795644100659643,0.9632570162481536,0.9800903353646494,0.9630141860547157
7,0.05678800470814111,0.1316280444173288,0.9797695866717276,0.9634416543574594,0.9807124535890841,0.9645137796177043
8,0.050929727721090105,0.15182595775962052,0.9819136822019553,0.9723966026587888,0.9827051030458817,0.9616402579090069
9,0.04127686087177993,0.13998733718977194,0.9853093550273397,0.9764586410635155,0.9865967148370212,0.9689293652347137
10,0.03746931558789215,0.14582678023037918,0.9858838495234773,0.966857459379616,0.9870852549716256,0.966315433635303
11,0.036724062957384694,0.17971758729333892,0.9865096381710557,0.9771048744460856,0.987521966220814,0.9623842929328353
12,0.032256375510092195,0.14439334669748824,0.9880382038839931,0.9756277695716395,0.9890918496430764,0.9693809617641385
13,0.030078509126678265,0.14845263549681076,0.988387004113791,0.9681499261447563,0.9896740555566299,0.9673669155990414
14,0.026397238094391547,0.20190687618456352,0.989535993106066,0.9726735598227474,0.9907548848716952,0.9613554353725604
15,0.02683086414580898,0.18648371235790773,0.99001815812961,0.9780280649926145,0.9913030622947584,0.9659157993394616
16,0.02666334390545633,0.19224845836464552,0.9897411697118295,0.9755354505169868,0.9907154148397067,0.9661482018259618
17,0.0247756276647413,0.18127789123855984,0.9907157585892057,0.9741506646971935,0.9914727295807515,0.9651737828478053
18,0.022793486737914398,0.1831163023233942,0.9914954296911066,0.9775664697193501,0.9924800456937599,0.9658687930984875
19,0.01946790645074561,0.21451562155516848,0.9926136421925172,0.975258493353028,0.9934999756650073,0.9633128630436933
20,0.022174099838182842,0.20704776642395614,0.9916287944848529,0.9763663220088626,0.9925463713641848,0.9638603032148652
21,0.020272707390667295,0.19382236508358178,0.9923982067564656,0.9776587887740029,0.9932895638613843,0.9653281901547803
22,0.021243471152102792,0.1968799550994196,0.9918544887511926,0.9771048744460856,0.9926847130715732,0.9665284219517195
23,0.01696074811911666,0.23720583868827919,0.9934240897852826,0.9782127031019202,0.9941265462903299,0.9655224483873331
24,0.018386545982719733,0.2191635371410072,0.9930239954040441,0.9781203840472673,0.9938187254301976,0.965378831806798
25,0.017908066895924148,0.24699313211305676,0.9927983011377043,0.9785819793205317,0.9938292218823949,0.9604215784127277
26,0.01970315922896515,0.2010629964191769,0.9925520892107882,0.9794128508124077,0.9932462562566595,0.9671139075169839
27,0.01705630099614913,0.22081271074217038,0.9937113370333515,0.9777511078286558,0.994302500897924,0.964015498959549
28,0.015570859166560678,0.2301013607702368,0.9941319490751664,0.9776587887740029,0.9950064920577564,0.9635209396237597
29,0.015974479534880515,0.21991740847267816,0.9937523723545041,0.9745199409158051,0.9946677764004936,0.9639646921757887
30,0.015921409924250503,0.21337361060402066,0.9938139253362331,0.9764586410635155,0.9947525140322286,0.9637132722323396
