k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
57,0.943069896109245,0.9430428069428116,0.9404045319166466,0.942979660308528,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
58,0.943069896109245,0.9424883973366779,0.9404045319166466,0.9412425090386288,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
59,0.943069896109245,0.9414638071727435,0.9404045319166466,0.9416742879678169,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
60,0.943069896109245,0.9415526306749933,0.9404045319166466,0.9423465292789477,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
61,0.943069896109245,0.9418827847468934,0.9404045319166466,0.9416696821539803,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
62,0.943069896109245,0.9416639488897597,0.9404045319166466,0.9406916239195893,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
63,0.9435070058204367,0.9435070058204367,0.9397155920294818,0.9397155920294818,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
64,0.9452552575686883,0.9452552575686883,0.9404677509915651,0.9404677509915651,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
65,0.9452552575686883,0.9452552575686883,0.9404677509915651,0.9409800460735323,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
66,0.9506135155230663,0.9506135155230663,0.9463421820136898,0.9463421820136898,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
67,0.9517832856027363,0.9517832856027363,0.9474398995632016,0.9474398995632016,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
68,0.9522648096312569,0.9522648096312569,0.9484765824893334,0.9484765824893334,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
69,0.9531693289625004,0.9531693289625004,0.9496083441881766,0.9496083441881766,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
70,0.9539637236667949,0.9539637236667949,0.9508879340982554,0.9508879340982554,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
71,0.9539637236667949,0.951864168605616,0.9508879340982554,0.9494988770635897,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
72,0.9539637236667949,0.9531572720538917,0.9508879340982554,0.9499316291414583,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
73,0.9539637236667949,0.9518521116970072,0.9508879340982554,0.9504878766834157,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
74,0.9540313979280177,0.9540313979280177,0.9505077165444401,0.9505077165444401,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
75,0.9540313979280177,0.9531572720538917,0.9505077165444401,0.9496990158450999,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
76,0.9540313979280177,0.9531572720538917,0.9505077165444401,0.950542733842452,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
77,0.9540313979280177,0.9527141806625247,0.9505077165444401,0.9513901064447948,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
78,0.9540313979280177,0.9527141806625247,0.9505077165444401,0.9513917543366266,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
79,0.9543947581495535,0.9543947581495535,0.9527453703292128,0.9527453703292128,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
80,0.9543947581495535,0.9543947581495535,0.9527453703292128,0.9525294808646186,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
