individual,acc,bacc,macro_f1,auroc,ece
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2001,0.3709490443899587,0.487121937650526,0.34783045269828927,0.7562095378505911,0.050266797474814315
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2002,0.701519332765678,0.5127315716794477,0.4998652339293633,0.7369826503141401,0.42751990918625443
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2003,0.6583912102342091,0.5556162866307065,0.544801659047183,0.7815337511976859,0.37673669757173334
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2004,0.6363039486237779,0.5460081903428252,0.525354432792424,0.763187010314897,0.3722843442056009
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2101,0.6810529663407778,0.5282119144312,0.5062434980586019,0.7340197507279498,0.40774171668185005
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2102,0.5651281840844506,0.5534041904325936,0.49899629692725145,0.7979539488151272,0.28951472073687495
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2103,0.5803933235532485,0.591725080519776,0.5416601077549946,0.7640006190325677,0.2740230514585697
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2104,0.6108107553576742,0.542389377863645,0.5227351281993788,0.7317821953540113,0.2859264437266626
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2201,0.4974609395036778,0.4707649370320922,0.4399034401274845,0.6857485337006577,0.23319231260181678
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2202,0.38053079187910993,0.38822350743171175,0.26049888499540763,0.591961639860922,0.111681423576026
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2203,0.6781291997086493,0.5255639644480715,0.49639027749998277,0.7395478261168221,0.4166659537590273
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2204,0.7437036429106353,0.5695994723724924,0.5456536464156161,0.7649829142177154,0.46933822388731333
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2301,0.37477558808744627,0.460998337648353,0.31489378642252763,0.7393819805296379,0.09476940556283008
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2302,0.6657262738902511,0.5176269398531909,0.4953894387763119,0.7409806170323245,0.3798956795838827
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2303,0.6527591124060035,0.6122502561380645,0.5973945812767522,0.827483923133945,0.3838021608367489
OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2304,0.7157791068662351,0.5554388965821504,0.5403112834170753,0.7702099711271724,0.4495539121077082
