split,val_selected_individual,val_selected_acc,val_selected_bacc,val_selected_macro_f1,val_selected_auroc,val_selected_ece,best_acc,average_acc,std_acc,best_bacc,average_bacc,std_bacc,best_macro_f1,average_macro_f1,std_macro_f1,best_auroc,average_auroc,std_auroc,best_ece,average_ece,std_ece
train,OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2303,0.6527591124060035,0.6122502561380645,0.5973945812767522,0.827483923133945,0.3838021608367489,0.6527591124060035,0.6527591124060035,0.0,0.6122502561380645,0.6122502561380645,0.0,0.5973945812767522,0.5973945812767522,0.0,0.827483923133945,0.827483923133945,0.0,0.3838021608367489,0.3838021608367489,0.0
val,OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2303,0.6510339734121122,0.6096768000960713,0.595237941411019,0.8222068458610812,0.3821018465462374,0.6510339734121122,0.6510339734121122,0.0,0.6096768000960713,0.6096768000960713,0.0,0.595237941411019,0.595237941411019,0.0,0.8222068458610812,0.8222068458610812,0.0,0.3821018465462374,0.3821018465462374,0.0
test,OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2303,0.467,0.467,0.37442173126688405,0.7666306666666667,0.19600429609256612,0.467,0.467,0.0,0.467,0.467,0.0,0.37442173126688405,0.37442173126688405,0.0,0.7666306666666667,0.7666306666666667,0.0,0.19600429609256612,0.19600429609256612,0.0
