split,val_selected_individual,val_selected_acc,val_selected_bacc,val_selected_macro_f1,val_selected_auroc,val_selected_ece,best_acc,average_acc,std_acc,best_bacc,average_bacc,std_bacc,best_macro_f1,average_macro_f1,std_macro_f1,best_auroc,average_auroc,std_auroc,best_ece,average_ece,std_ece
train,OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2303,0.6527591124060035,0.6122502561380645,0.5973945812767522,0.827483923133945,0.3838021608367489,0.7437036429106353,0.5945883387876113,0.12041246160845838,0.6122502561380645,0.5261046788160528,0.05294134113176187,0.5973945812767522,0.4798701342711653,0.09016672693984502,0.827483923133945,0.7453729293328855,0.050100515206200194,0.050266797474814315,0.31393204705985706,0.1273117789082006
val,OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2303,0.6510339734121122,0.6096768000960713,0.595237941411019,0.8222068458610812,0.3821018465462374,0.75,0.5967215195716395,0.12172626946320174,0.6096768000960713,0.5258000072487558,0.05276844432028968,0.595237941411019,0.4805644209890553,0.090556713823989,0.8222068458610812,0.7438490551359938,0.05085380985050375,0.0446499618593477,0.3160052465205248,0.12965894925935995
test,OCTMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__2303,0.467,0.467,0.37442173126688405,0.7666306666666667,0.19600429609256612,0.482,0.41281249999999997,0.055193091449474,0.482,0.41281249999999997,0.055193091449474,0.41921756329415505,0.3176859315487926,0.06641760548575594,0.7765373333333334,0.6722212500000001,0.06608818370508833,0.020750000000000005,0.14165005315612333,0.053078192384168534
