model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,ece,0.012756937317654996,0.9431390584497031,0.9398830636541281,0.9377726970272476,0.9969322310050095,0.99873;0.99992;0.99771;0.98781;0.99796;0.99446;0.99891;0.99998,0.15797602261789506,0.08049163550747858,0.012756937317654996,0.94249;0.99037;0.93088;0.87463;0.94817;0.88822;0.94979;0.99452,0.99433;0.99959;0.99531;0.96919;0.99307;0.98705;0.99616;1.0
SVC,val,ece,0.008208125674182871,0.9380841121495327,0.9382104012318064,0.932817729418282,0.9958142046539215,0.99784;0.99997;0.99453;0.98431;0.99683;0.99432;0.99871;0.99999,0.18193509126346738,0.08865384154126531,0.008208125674182871,0.94262;0.98718;0.90968;0.83793;0.95902;0.93007;0.95195;0.98723,0.99245;1.0;0.99486;0.97046;0.99119;0.98534;0.99565;0.99932
SVC,test,ece,0.012996754935165935,0.9427068108740134,0.9402790497393143,0.9379131987043157,0.9957493806354549,0.99713;0.99974;0.99149;0.98728;0.99877;0.99388;0.99772;1.0,0.17909666144921943,0.08594219934902567,0.012996754935165935,0.94672;0.99519;0.9164;0.87565;0.95885;0.89437;0.94144;0.99362,0.99308;0.99964;0.99518;0.96868;0.99465;0.98693;0.99601;1.0
RF,train,ece,0.07572620212967511,0.9744961953340581,0.9722523030761888,0.9719271930728847,0.9994480286263205,0.99974;0.99999;0.9996;0.99775;0.9997;0.99906;0.99975;0.99999,0.138395145708743,0.059875697275870714,0.07572620212967511,0.97418;0.99679;0.95945;0.94669;0.97527;0.94965;0.98026;0.99574,0.99721;0.9998;0.99706;0.98691;0.99739;0.99571;0.99688;0.99961
RF,val,ece,0.06555186760790814,0.955607476635514,0.9536376860005433,0.9501370860365566,0.9969907116588517,0.99799;0.99999;0.99689;0.98905;0.9975;0.99578;0.99874;0.99999,0.1888161243303537,0.08767269706333874,0.06555186760790814,0.94262;0.99679;0.93548;0.87241;0.95902;0.95105;0.97598;0.99574,0.99308;0.99929;0.99422;0.98453;0.99497;0.99044;0.99347;0.99932
RF,test,ece,0.07535773761778775,0.9552762350190003,0.9526978684819435,0.9515990220167847,0.996863105985164,0.99872;0.99972;0.99612;0.9889;0.99937;0.99481;0.99727;0.99999,0.20639298314466617,0.09152614299215754,0.07535773761778775,0.96311;0.99679;0.91961;0.89119;0.97531;0.91197;0.96997;0.99362,0.99559;0.99928;0.99614;0.97748;0.99528;0.99107;0.99347;1.0
LR,train,ece,0.023571707604669943,0.9116146835019651,0.9084624860709518,0.8988659669990364,0.9924432766917183,0.9944;0.99959;0.9919;0.97487;0.99397;0.98654;0.9984;0.99988,0.255279366416599,0.1311431886260094,0.023571707604669943,0.91667;0.98945;0.8977;0.74432;0.9364;0.83686;0.95665;0.98965,0.9855;0.99826;0.98988;0.97151;0.98659;0.97684;0.992;0.99942
LR,val,ece,0.023132987154142484,0.9217289719626168,0.9243587955640483,0.9105440387812402,0.9936008464730446,0.9956;0.99998;0.99193;0.97578;0.99465;0.99205;0.99889;0.99993,0.24344859491566412,0.1231922612385176,0.023132987154142484,0.91803;0.99359;0.89677;0.72069;0.95902;0.94406;0.96697;0.99574,0.98742;1.0;0.9878;0.98172;0.98679;0.97642;0.99275;0.99932
LR,test,ece,0.023327065766647358,0.9131832797427653,0.9111023731150297,0.9022273719954275,0.9927682400612614,0.99377;0.99981;0.98905;0.97566;0.99699;0.9893;0.99758;0.99999,0.249955841072935,0.12833955564564983,0.023327065766647358,0.92213;0.99199;0.89389;0.75302;0.94239;0.84859;0.94745;0.98936,0.98615;0.99928;0.98457;0.96974;0.99056;0.9796;0.99165;1.0
