model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,auroc,0.9969322310050095,0.9431390584497031,0.9398830636541281,0.9377726970272476,0.9969322310050095,0.99873;0.99992;0.99771;0.98781;0.99796;0.99446;0.99891;0.99998,0.15797602261789506,0.08049163550747858,0.012756937317654996,0.94249;0.99037;0.93088;0.87463;0.94817;0.88822;0.94979;0.99452,0.99433;0.99959;0.99531;0.96919;0.99307;0.98705;0.99616;1.0
SVC,val,auroc,0.9958142046539215,0.9380841121495327,0.9382104012318064,0.932817729418282,0.9958142046539215,0.99784;0.99997;0.99453;0.98431;0.99683;0.99432;0.99871;0.99999,0.18193509126346738,0.08865384154126531,0.008208125674182871,0.94262;0.98718;0.90968;0.83793;0.95902;0.93007;0.95195;0.98723,0.99245;1.0;0.99486;0.97046;0.99119;0.98534;0.99565;0.99932
SVC,test,auroc,0.9957493806354549,0.9427068108740134,0.9402790497393143,0.9379131987043157,0.9957493806354549,0.99713;0.99974;0.99149;0.98728;0.99877;0.99388;0.99772;1.0,0.17909666144921943,0.08594219934902567,0.012996754935165935,0.94672;0.99519;0.9164;0.87565;0.95885;0.89437;0.94144;0.99362,0.99308;0.99964;0.99518;0.96868;0.99465;0.98693;0.99601;1.0
RF,train,auroc,0.9999022664455571,0.991136382640689,0.9918536247207722,0.9908298467847252,0.9999022664455571,0.99996;1.0;0.99991;0.99964;0.99993;0.99985;0.99993;1.0,0.0991583832246109,0.03805566531744847,0.0706976632523962,0.99413;0.99817;0.98986;0.97828;0.99647;0.99194;0.98841;0.99757,0.99937;1.0;0.99871;0.99638;0.99883;0.99818;0.99865;0.99971
RF,val,auroc,0.9972117834554473,0.9567757009345794,0.9547178935170917,0.9518807964714855,0.9972117834554473,0.9983;0.99999;0.99723;0.98919;0.99828;0.99593;0.99879;0.99999,0.176275699306037,0.08245229226903406,0.05807257684684159,0.95082;0.99679;0.92903;0.87931;0.95902;0.95105;0.97598;0.99574,0.99308;0.99929;0.99422;0.98312;0.99623;0.99108;0.9942;0.99932
RF,test,auroc,0.9968334081415353,0.9555685472084186,0.950659167694806,0.9522536627636418,0.9968334081415353,0.9989;0.99974;0.99606;0.98937;0.99941;0.99394;0.99727;0.99999,0.20320624288878122,0.08657725427719351,0.06665373842147923,0.95902;0.99679;0.9164;0.90674;0.97531;0.8838;0.97147;0.99574,0.99654;0.99928;0.99646;0.97326;0.99591;0.99362;0.9931;1.0
LR,train,auroc,0.9924802513161162,0.9096078267413663,0.9059890850727604,0.8961216408371866,0.9924802513161162,0.99429;0.99979;0.99196;0.97487;0.9941;0.98671;0.9984;0.99973,0.25708128335120056,0.1321837058751655,0.02292703836371657,0.91901;0.98854;0.8977;0.74038;0.92815;0.8288;0.95751;0.98783,0.98532;0.99806;0.98952;0.97131;0.98569;0.97611;0.99252;0.99932
LR,val,auroc,0.9937754777914615,0.9211448598130841,0.9226293315041716,0.9094606776394671,0.9937754777914615,0.99526;0.99999;0.99257;0.97648;0.99479;0.9923;0.99892;0.9999,0.2413436294996813,0.12160150639011635,0.024422765650435947,0.90984;0.99359;0.89677;0.71724;0.95082;0.94406;0.97297;0.99574,0.98679;0.99929;0.9878;0.98172;0.98805;0.97578;0.99275;0.99932
LR,test,auroc,0.9927829539936357,0.9108447822274189,0.9101343504337848,0.8991827084846273,0.9927829539936357,0.99352;0.99977;0.98928;0.97581;0.99702;0.98929;0.9976;0.99999,0.25167180441271614,0.12911283757993172,0.02375868612462813,0.92623;0.99199;0.89711;0.73748;0.9465;0.84859;0.94595;0.98723,0.98332;0.99928;0.98585;0.97044;0.98962;0.978;0.9931;0.99966
