model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,macro_f1,0.9938800847069349,0.9931432394012877,0.9946509630134689,0.9938800847069349,0.9998152063725546,0.99997;1.0;1.0;0.99892;1.0;0.9998;0.99983;1.0,0.027736389833187734,0.010720640220100547,0.007760905158894702,0.99765;0.99862;0.99908;0.97976;1.0;0.99496;0.98712;1.0,0.99946;0.9999;0.99991;0.99628;1.0;0.99799;0.99844;1.0
SVC,val,macro_f1,0.9663465644015352,0.9684579439252337,0.9692418081982849,0.9663465644015352,0.9989281184715108,0.99961;1.0;0.99876;0.9951;0.99989;0.99873;0.99933;0.99999,0.09235407900981608,0.047572100377924836,0.006058889686408724,0.97541;0.99679;0.94194;0.91724;0.9918;0.96503;0.96997;0.99574,0.99623;1.0;0.99615;0.98594;0.99686;0.99299;0.99637;0.99932
SVC,test,macro_f1,0.9683459546611872,0.9698918444899153,0.9671862141922927,0.9683459546611872,0.9985715128694825,0.99924;0.99969;0.99856;0.99608;0.99961;0.9975;0.9979;1.0,0.09126397508372422,0.04314377784069426,0.0067228608770574854,0.96721;0.99679;0.9582;0.93955;0.97531;0.92958;0.97297;0.99787,0.9978;0.99928;0.99904;0.98346;0.99748;0.99458;0.9931;1.0
RF,train,macro_f1,0.9965640009520386,0.996320762605569,0.9971125692629044,0.9965640009520386,0.9999818762996318,1.0;1.0;0.99997;0.99995;1.0;0.99997;0.99997;1.0,0.08680474339291679,0.027937563649486092,0.06951041567193028,1.0;0.99954;0.99631;0.99013;0.99882;1.0;0.9927;0.99939,0.99982;0.9999;0.99945;0.99859;0.99982;0.99909;0.99927;0.99981
RF,val,macro_f1,0.967434866050462,0.969626168224299,0.9689301963828303,0.967434866050462,0.9989279114842964,0.99971;1.0;0.99905;0.99509;0.99973;0.99846;0.9994;0.99999,0.1484156759963173,0.06372492269385409,0.07086096666688475,0.98361;1.0;0.95484;0.91034;0.98361;0.93706;0.98198;1.0,0.99686;1.0;0.99679;0.98664;0.99811;0.99235;0.99492;0.99932
RF,test,macro_f1,0.9700425569339175,0.971645717626425,0.968008703576922,0.9700425569339175,0.9984318167212316,0.99964;0.99974;0.99901;0.99479;0.99966;0.9969;0.99772;1.0,0.16983330776304306,0.0686854247655908,0.08011395202007529,0.96311;1.0;0.93569;0.94473;0.98354;0.94014;0.97898;0.99787,0.9978;0.99964;0.99839;0.9817;0.9978;0.99681;0.99456;1.0
LR,train,macro_f1,0.9678251186501804,0.9699807676227109,0.9711858070168836,0.9678251186501804,0.9989490814140685,0.99973;1.0;0.99964;0.99548;0.99983;0.9975;0.99945;0.99998,0.09238614180205594,0.04701327033786204,0.016945558268847076,0.98592;0.99817;0.98433;0.9077;0.98115;0.94058;0.97468;0.99696,0.99649;0.9999;0.99687;0.98872;0.99829;0.9896;0.99595;0.9999
LR,val,macro_f1,0.95883715643534,0.9620327102803738,0.966484334874928,0.95883715643534,0.9984266227599958,0.9995;1.0;0.99902;0.99305;0.99955;0.99685;0.99945;0.99999,0.11665831214193399,0.05878411739761898,0.00934356296748929,0.9918;0.99679;0.96774;0.85517;0.98361;0.96503;0.97598;0.99574,0.99371;1.0;0.99358;0.99086;0.9956;0.98917;0.99492;0.99932
LR,test,macro_f1,0.9593357067683236,0.9637532885121309,0.9636705333809144,0.9593357067683236,0.9983369632881514,0.99967;0.99969;0.9988;0.99492;0.99945;0.99622;0.99796;1.0,0.10803812044966066,0.052694521383979294,0.013564301774837865,0.97951;0.9984;0.95177;0.89119;0.97942;0.9331;0.97598;1.0,0.99528;0.99964;0.99646;0.98909;0.99622;0.98693;0.99528;1.0
