model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,auroc,0.9999999914557418,0.9998553282601776,0.9998818356256223,0.9998696271585706,0.9999999914557418,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,0.001554179694307241,0.00019048480689958262,0.0014388360104474877,1.0;1.0;1.0;1.0;0.99924;0.99974;1.0;1.0;1.0;1.0;0.99972,0.99997;1.0;1.0;1.0;0.99997;0.99993;1.0;1.0;1.0;1.0;0.99997
SVC,val,auroc,0.9995714463233802,0.9702665228778309,0.9693751347872785,0.9705320280738815,0.9995714463233802,0.99947;0.99998;0.99993;0.99929;0.99934;0.99873;0.99994;1.0;0.99987;0.99991;0.99881,0.11126869921067861,0.046520754657883974,0.011673711661109955,0.96573;1.0;0.98667;0.91071;0.98239;0.95604;0.9971;1.0;0.9336;0.96219;0.96869,0.99935;0.99952;1.0;0.99934;0.99274;0.99744;0.98809;1.0;1.0;0.9995;0.99064
SVC,test,auroc,0.9943808676842203,0.9205197435032062,0.9096587087787236,0.914979643754862,0.9943808676842203,0.98961;0.99917;0.9988;0.99263;0.98263;0.98425;0.99992;0.99999;0.99997;0.99784;0.99338,0.27679711071623003,0.12519679591261745,0.029123685057069318,0.86969;0.91837;0.90668;0.8242;0.78731;0.83969;0.99635;0.99657;0.98897;0.92725;0.95117,0.98644;0.99871;0.99823;0.99965;0.98365;0.98583;0.998;0.99913;1.0;0.99412;0.96798
RF,train,auroc,0.9999964086273131,0.9987847573854923,0.9987726703440015,0.9986604706242925,0.9999964086273131,1.0;1.0;1.0;1.0;0.99999;1.0;1.0;1.0;1.0;0.99999;0.99999,0.10643633790534829,0.03238455818961737,0.08881899986559104,0.99949;0.99856;0.99926;1.0;0.99722;0.99948;0.99984;1.0;0.99975;0.99571;0.99719,0.99991;0.99991;0.99991;0.99991;0.99974;0.99958;0.99996;1.0;1.0;0.99987;0.99987
RF,val,auroc,0.9994654108089026,0.9664150362039747,0.965628156276642,0.9675430106206097,0.9994654108089026,0.99986;0.99999;0.99996;0.99938;0.99885;0.99977;0.99965;1.0;0.99997;0.99951;0.99718,0.18145895981300325,0.07737306427771055,0.088515823457361,0.95016;1.0;0.98222;0.92857;0.98592;0.97488;0.99613;0.99903;0.91873;0.95085;0.93542,0.99984;0.99936;1.0;0.99918;0.99223;0.99761;0.98369;1.0;1.0;0.99883;0.9913
RF,test,auroc,0.9941261368543234,0.9154573067836652,0.9019552277889576,0.9085807326665253,0.9941261368543234,0.99293;0.99833;0.99901;0.99435;0.97767;0.98514;0.99987;0.99985;0.99996;0.9976;0.99068,0.36290352277419086,0.16391908250612217,0.1284254519961746,0.82143;0.91327;0.93821;0.76943;0.77907;0.85649;0.99635;0.99828;0.99007;0.93588;0.92304,0.99415;0.99729;0.99776;0.99918;0.98104;0.98349;0.99662;0.99127;0.99887;0.99338;0.97269
LR,train,auroc,0.9995735465784512,0.9798906281646943,0.981719119545821,0.9806983374208701,0.9995735465784512,0.99967;0.99996;0.99998;1.0;0.9979;0.99838;1.0;1.0;1.0;0.99979;0.99963,0.07074544801066679,0.03306456704308473,0.02230934068004791,0.97955;0.99281;0.99558;1.0;0.93439;0.9421;0.99903;0.99949;0.99949;0.9868;0.96967,0.99822;0.99928;0.99919;0.99994;0.99222;0.99327;0.99986;1.0;0.99997;0.99845;0.99726
LR,val,auroc,0.9996492230574312,0.9758126636881836,0.9746946011604475,0.974913258414978,0.9996492230574312,0.99979;0.99999;0.99997;0.99991;0.99881;0.99922;0.99996;1.0;1.0;0.99994;0.99854,0.07116479096616152,0.036666152884152536,0.009678588541436405,0.97196;0.99571;0.99111;0.96939;0.98063;0.96546;0.99419;1.0;0.96333;0.9603;0.92955,0.99838;0.99968;1.0;0.99902;0.99139;0.99265;0.99542;1.0;1.0;0.99983;0.99682
LR,test,auroc,0.9939794931685739,0.9128698391270109,0.9045502045451642,0.9048867378064792,0.9939794931685739,0.99107;0.99864;0.99909;0.99138;0.97857;0.98514;0.99989;0.99969;0.99996;0.99758;0.99276,0.28089900967669057,0.13011184120569058,0.015562932151556855,0.87645;0.89286;0.93569;0.82038;0.73789;0.81679;0.99117;0.99657;0.99228;0.95314;0.93684,0.9859;0.99635;0.99647;0.99847;0.98263;0.98552;0.99752;0.99457;0.99881;0.99115;0.97622
