model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,ece,0.0014388360104474877,0.9998553282601776,0.9998818356256223,0.9998696271585706,0.9999999914557418,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,0.001554179694307241,0.00019048480689958262,0.0014388360104474877,1.0;1.0;1.0;1.0;0.99924;0.99974;1.0;1.0;1.0;1.0;0.99972,0.99997;1.0;1.0;1.0;0.99997;0.99993;1.0;1.0;1.0;1.0;0.99997
SVC,val,ece,0.011673711661109955,0.9702665228778309,0.9693751347872785,0.9705320280738815,0.9995714463233802,0.99947;0.99998;0.99993;0.99929;0.99934;0.99873;0.99994;1.0;0.99987;0.99991;0.99881,0.11126869921067861,0.046520754657883974,0.011673711661109955,0.96573;1.0;0.98667;0.91071;0.98239;0.95604;0.9971;1.0;0.9336;0.96219;0.96869,0.99935;0.99952;1.0;0.99934;0.99274;0.99744;0.98809;1.0;1.0;0.9995;0.99064
SVC,test,ece,0.029123685057069318,0.9205197435032062,0.9096587087787236,0.914979643754862,0.9943808676842203,0.98961;0.99917;0.9988;0.99263;0.98263;0.98425;0.99992;0.99999;0.99997;0.99784;0.99338,0.27679711071623003,0.12519679591261745,0.029123685057069318,0.86969;0.91837;0.90668;0.8242;0.78731;0.83969;0.99635;0.99657;0.98897;0.92725;0.95117,0.98644;0.99871;0.99823;0.99965;0.98365;0.98583;0.998;0.99913;1.0;0.99412;0.96798
RF,train,ece,0.10366676926661178,0.9969908278116952,0.9970784067919976,0.996860595391237,0.9999823213550766,0.99999;1.0;1.0;1.0;0.99993;0.99997;1.0;1.0;1.0;0.99995;0.99997,0.13034349530008246,0.043476910921995245,0.10366676926661178,0.99642;0.99856;0.99926;1.0;0.99319;0.99581;0.99984;1.0;0.99949;0.99175;0.99354,0.99979;0.99976;0.99985;0.99991;0.99928;0.99889;0.99993;1.0;1.0;0.99959;0.99968
RF,val,ece,0.09355728058198645,0.9651825604683408,0.9638884584174571,0.9660865096497367,0.9994276722042951,0.99981;0.99999;0.99997;0.99933;0.99881;0.99978;0.9996;1.0;0.99997;0.9994;0.99704,0.18978847400558596,0.08017974684718344,0.09355728058198645,0.94393;0.99571;0.98222;0.93112;0.98239;0.97959;0.99613;0.9971;0.91972;0.9414;0.93346,1.0;0.99936;0.99984;0.99918;0.99223;0.99778;0.98296;1.0;1.0;0.99866;0.99064
RF,test,ece,0.13388981724877225,0.913094836314546,0.9012928066296484,0.9068779387659017,0.9939865684442637,0.99311;0.9983;0.99902;0.99338;0.97674;0.98563;0.99985;0.99983;0.99997;0.99763;0.99039,0.3733138602236462,0.16813443270961886,0.13388981724877225,0.82819;0.91709;0.93821;0.77834;0.76211;0.85547;0.99178;0.99599;0.98952;0.93342;0.9241,0.99403;0.99694;0.99759;0.99888;0.98212;0.9833;0.99662;0.99208;0.99894;0.99276;0.96993
LR,train,ece,0.027836015909633565,0.978820057290009,0.9805295690146797,0.9791330466672384,0.9995106838667266,0.99951;0.99996;0.99997;1.0;0.99758;0.99823;1.0;1.0;1.0;0.99974;0.99962,0.0794591665479238,0.036181282437050585,0.027836015909633565,0.97444;0.99065;0.99484;1.0;0.92758;0.94079;0.99822;0.99974;0.99949;0.98647;0.9736,0.99776;0.99913;0.99892;0.99988;0.99258;0.99297;0.99993;1.0;0.9999;0.99845;0.997
LR,val,ece,0.012540613532460351,0.9755045447542752,0.9748360238358341,0.9760091357255505,0.9996111523193238,0.99974;0.99997;0.9999;0.99989;0.99866;0.99932;0.99991;1.0;1.0;0.99992;0.9984,0.07783948094180494,0.039235340112495305,0.012540613532460351,0.97508;1.0;0.98667;0.95918;0.98063;0.9686;0.99613;1.0;0.95342;0.96219;0.94129,0.99984;0.99968;1.0;0.99934;0.99173;0.99488;0.99157;1.0;1.0;0.99983;0.99565
LR,test,ece,0.004050760137927074,0.9189447631904601,0.9096906435520579,0.9110142945512494,0.9950119507889322,0.99281;0.99878;0.99896;0.99634;0.98008;0.98734;0.99995;0.99992;0.99997;0.99773;0.99324,0.2521338100781028,0.12103972213593081,0.004050760137927074,0.88224;0.91582;0.92434;0.81146;0.75921;0.82595;0.99574;0.99886;0.99338;0.95746;0.94214,0.98626;0.9967;0.99664;0.99923;0.98295;0.98647;0.99731;0.99495;0.99956;0.99177;0.97842
