model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,auroc,0.9999953040245368,0.9989583634732792,0.9991112596147985,0.999096170278788,0.9999953040245368,1.0;1.0;1.0;1.0;0.99998;0.99997;1.0;1.0;1.0;1.0;0.99999,0.005616458214606172,0.0017268179546293468,0.0028402818756880213,0.99949;1.0;1.0;1.0;0.99697;0.99555;1.0;1.0;1.0;0.99934;0.99888,0.99991;1.0;1.0;1.0;0.99938;0.99974;1.0;1.0;1.0;1.0;0.99981
SVC,val,auroc,0.999230000564868,0.966569095670929,0.9642498608591467,0.9660757402736176,0.999230000564868,0.99846;0.99998;0.99996;0.99922;0.99815;0.99774;0.99981;1.0;0.99951;0.99988;0.99882,0.14009711508233477,0.053878635142581496,0.012862182179162934,0.95639;0.98712;0.99111;0.8852;0.98063;0.95133;0.9971;1.0;0.93062;0.95463;0.9726,0.99935;0.99968;0.99952;0.99951;0.9924;0.99607;0.98663;1.0;1.0;0.99966;0.98963
SVC,test,auroc,0.9924864829348657,0.9124760940488243,0.9007898555822892,0.9044825153295907,0.9924864829348657,0.98855;0.99862;0.99776;0.98409;0.97916;0.98085;0.99983;0.99998;0.99993;0.99704;0.99154,0.30407738614508867,0.13516244165378133,0.030187942991540196,0.89479;0.90434;0.9029;0.77707;0.76357;0.82443;0.993;0.99714;0.984;0.92478;0.94268,0.98274;0.997;0.99729;0.99965;0.98295;0.9821;0.99772;0.99863;0.99994;0.99561;0.96942
RF,train,auroc,0.9999998111595445,0.9997974595642487,0.9998398459481062,0.9997883985858693,0.9999998111595445,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,0.08976045407000709,0.024220100848555203,0.07809668947635234,1.0;1.0;1.0;1.0;0.99924;1.0;0.99984;1.0;1.0;1.0;0.99916,0.99994;1.0;1.0;0.99997;0.99997;1.0;1.0;1.0;1.0;0.99994;0.99997
RF,val,auroc,0.9994705616185126,0.9634879063318441,0.9603143075512731,0.9632169075962167,0.9994705616185126,0.99964;0.99998;0.9999;0.99905;0.99929;0.99964;0.99946;1.0;0.99992;0.9997;0.9976,0.18512814402955557,0.07860693434357718,0.08293965980178387,0.92835;1.0;0.96889;0.90051;0.98592;0.97488;0.99516;0.9971;0.92071;0.95652;0.93542,0.99968;0.99936;1.0;0.99852;0.99206;0.99522;0.98351;1.0;1.0;0.9995;0.99097
RF,test,auroc,0.9935758484748064,0.9087073911576106,0.8948056399215369,0.9019053120485324,0.9935758484748064,0.99435;0.9981;0.99884;0.9911;0.97845;0.98261;0.99975;0.99985;0.99995;0.99706;0.98927,0.37919547182094754,0.1711346933334601,0.1298661961129648,0.85232;0.90306;0.90794;0.75414;0.76744;0.85191;0.99178;0.99428;0.97849;0.9328;0.9087,0.99289;0.99676;0.99835;0.99935;0.98244;0.9809;0.99607;0.99077;0.99818;0.99232;0.97018
LR,train,auroc,0.9982145228551599,0.9544862706518908,0.9566089087390375,0.9531726785125443,0.9982145228551599,0.99788;0.99955;0.9997;0.99999;0.99271;0.99409;0.99999;1.0;1.0;0.999;0.99746,0.13819373724670933,0.0695438450549276,0.02127766123927021,0.95194;0.96619;0.97494;0.99796;0.86828;0.88604;0.99319;0.99719;0.99822;0.96569;0.92306,0.99472;0.99741;0.99735;0.99949;0.98647;0.98806;0.99958;0.9999;0.99961;0.9947;0.99242
LR,val,auroc,0.999237980061076,0.959636419657988,0.9579378580578607,0.9594574401955409,0.999237980061076,0.99954;0.99999;0.99995;0.99933;0.99824;0.99818;0.99956;1.0;0.99985;0.99966;0.99731,0.1254512862352054,0.062296723118116515,0.005083975147423579,0.95639;0.99142;0.98667;0.90561;0.97711;0.94349;0.98742;0.99516;0.93459;0.93384;0.92564,0.99887;0.99968;1.0;0.9977;0.98835;0.993;0.98663;1.0;1.0;0.99916;0.99147
LR,test,auroc,0.9923758211260396,0.900044999437507,0.8912924756954433,0.8911624435796799,0.9923758211260396,0.99244;0.99807;0.99846;0.98828;0.97435;0.97808;0.99972;0.9999;0.99987;0.99719;0.98979,0.31453609800983184,0.14798642203369405,0.011061622175406623,0.90154;0.90689;0.90164;0.7758;0.73692;0.80458;0.98295;0.99084;0.97849;0.9217;0.90287,0.98196;0.99506;0.99564;0.998;0.98167;0.97869;0.99676;0.99576;0.99856;0.99468;0.97269
