model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,ece,0.0124739562328532,0.9323514944590724,0.9323193762201175,0.9263518045983801,0.996791200943926,0.99521;0.99886;0.99878;0.99988;0.99015;0.99152;0.99987;0.99999;0.99999;0.99757;0.99287,0.18837057767597143,0.09479199472304789,0.0124739562328532,0.9044;0.94101;0.93957;0.99118;0.82488;0.84648;0.98475;0.99515;0.9972;0.93929;0.8916,0.98666;0.9956;0.99551;0.99921;0.98644;0.98718;0.99912;0.99987;0.99967;0.99112;0.98535
SVC,val,ece,0.008788678794290707,0.9374518564165768,0.9259787500844541,0.9258311006167943,0.9962472976349157,0.99573;0.99971;0.99965;0.99056;0.99617;0.99783;0.99874;0.99997;0.99948;0.99781;0.98306,0.2270569017941802,0.09875139611103459,0.008788678794290707,0.90031;0.95708;0.94667;0.82653;0.95775;0.92936;0.99129;0.97967;0.94252;0.91115;0.84344,0.99384;0.99808;0.99745;0.99672;0.98666;0.99095;0.98974;1.0;0.99945;0.99698;0.98144
SVC,test,ece,0.057320342370480906,0.8236584542693216,0.808123841111658,0.806692830551012,0.9800668018734374,0.97168;0.98542;0.98703;0.96563;0.96128;0.96554;0.99654;0.99863;0.99975;0.99139;0.95786,0.5556561330251327,0.24906527122412087,0.057320342370480906,0.8195;0.74235;0.77932;0.68025;0.66279;0.7313;0.89011;0.97081;0.97739;0.83354;0.80202,0.96356;0.9887;0.98999;0.996;0.9748;0.97407;0.99545;0.99195;0.99862;0.98836;0.94438
RF,train,ece,0.14329022977316552,0.9168137496021527,0.9206878179900032,0.9117742602536136,0.9954745063077887,0.99443;0.99871;0.99883;0.99952;0.98582;0.98886;0.99944;0.99997;0.99999;0.99589;0.98875,0.3697017093907076,0.16434699886704357,0.14329022977316552,0.89366;0.95036;0.9462;0.98982;0.78955;0.79932;0.9695;0.99413;0.99669;0.93929;0.85903,0.98546;0.99527;0.99536;0.99755;0.98683;0.98927;0.99845;0.99977;0.99951;0.98525;0.97597
RF,val,ece,0.12387030818799619,0.9374518564165768,0.9301253410355952,0.9319921209229348,0.9974728086224984,0.99805;0.99962;0.99964;0.99715;0.99597;0.99859;0.99934;0.99999;0.99967;0.99877;0.98542,0.2991682887161261,0.1304075231590431,0.12387030818799619,0.91277;0.96567;0.93778;0.8801;0.95951;0.93878;0.98838;0.98451;0.90882;0.89792;0.85714,0.99627;0.99856;0.99872;0.99721;0.98616;0.99419;0.98021;0.99982;1.0;0.99681;0.98244
RF,test,ece,0.12283815921099953,0.8284396445044437,0.8134346226637118,0.8107742399882337,0.982246587298263,0.97839;0.98847;0.99277;0.98079;0.95343;0.96336;0.99605;0.99865;0.99947;0.99044;0.9629,0.5873374922886707,0.2700758410815837,0.12283815921099953,0.81274;0.74617;0.78184;0.71592;0.64002;0.70127;0.91263;0.9771;0.96249;0.87115;0.82643,0.97276;0.98935;0.98905;0.99412;0.97785;0.97818;0.99282;0.98815;0.99831;0.98576;0.94444
LR,train,ece,0.01831191719236907,0.856138421920662,0.8468440346256884,0.833621074312254,0.9862175577004758,0.97441;0.99016;0.99085;0.99818;0.96508;0.96404;0.99754;0.99975;0.99987;0.99275;0.97576,0.4253650291532468,0.20633342936272758,0.01831191719236907,0.77658;0.81511;0.78556;0.95251;0.70754;0.69976;0.94338;0.9801;0.98829;0.90795;0.75849,0.97617;0.98447;0.98651;0.99356;0.9751;0.97678;0.9938;0.99798;0.99778;0.98363;0.97674
LR,val,ece,0.04555156442019744,0.9285164073332306,0.9122245153744024,0.9117231763522415,0.9962948642967309,0.99531;0.99892;0.99887;0.99426;0.99494;0.99687;0.99908;0.99996;0.99988;0.99888;0.98227,0.2460704275750384,0.11743111096164492,0.04555156442019744,0.89097;0.95708;0.87111;0.82398;0.93838;0.92936;0.99226;0.98258;0.93162;0.91871;0.79843,0.9919;0.99601;0.99697;0.9959;0.98497;0.98907;0.98827;0.99982;1.0;0.99648;0.98227
LR,test,ece,0.012787220871447794,0.8073461581730228,0.7816873178939191,0.7792190645398666,0.9756463468337909,0.968;0.97999;0.98485;0.96303;0.95315;0.9447;0.99608;0.99788;0.99944;0.98975;0.95524,0.5928199463606582,0.2761521876231377,0.012787220871447794,0.76544;0.67219;0.70618;0.64459;0.64341;0.67125;0.91202;0.97195;0.96415;0.86128;0.78609,0.97073;0.98305;0.98422;0.99388;0.96958;0.97167;0.99186;0.98958;0.99662;0.98614;0.95055
