model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,auroc,0.996791200943926,0.9323514944590724,0.9323193762201175,0.9263518045983801,0.996791200943926,0.99521;0.99886;0.99878;0.99988;0.99015;0.99152;0.99987;0.99999;0.99999;0.99757;0.99287,0.18837057767597143,0.09479199472304789,0.0124739562328532,0.9044;0.94101;0.93957;0.99118;0.82488;0.84648;0.98475;0.99515;0.9972;0.93929;0.8916,0.98666;0.9956;0.99551;0.99921;0.98644;0.98718;0.99912;0.99987;0.99967;0.99112;0.98535
SVC,val,auroc,0.9962472976349157,0.9374518564165768,0.9259787500844541,0.9258311006167943,0.9962472976349157,0.99573;0.99971;0.99965;0.99056;0.99617;0.99783;0.99874;0.99997;0.99948;0.99781;0.98306,0.2270569017941802,0.09875139611103459,0.008788678794290707,0.90031;0.95708;0.94667;0.82653;0.95775;0.92936;0.99129;0.97967;0.94252;0.91115;0.84344,0.99384;0.99808;0.99745;0.99672;0.98666;0.99095;0.98974;1.0;0.99945;0.99698;0.98144
SVC,test,auroc,0.9800668018734374,0.8236584542693216,0.808123841111658,0.806692830551012,0.9800668018734374,0.97168;0.98542;0.98703;0.96563;0.96128;0.96554;0.99654;0.99863;0.99975;0.99139;0.95786,0.5556561330251327,0.24906527122412087,0.057320342370480906,0.8195;0.74235;0.77932;0.68025;0.66279;0.7313;0.89011;0.97081;0.97739;0.83354;0.80202,0.96356;0.9887;0.98999;0.996;0.9748;0.97407;0.99545;0.99195;0.99862;0.98836;0.94438
RF,train,auroc,0.9987275234796179,0.9557015132663985,0.9569357673594758,0.9518482113707839,0.9987275234796179,0.99857;0.99941;0.99955;0.99994;0.99574;0.99692;0.99989;0.99999;0.99998;0.99885;0.99716,0.24420929614435305,0.10663044059029277,0.1222369162740341,0.9453;0.96475;0.96389;0.99389;0.88292;0.89992;0.98378;0.99643;0.9972;0.96899;0.92923,0.99368;0.99635;0.99693;0.99861;0.99183;0.99336;0.99877;0.99984;0.99931;0.99312;0.98955
RF,val,auroc,0.9977703756923307,0.9416114620243414,0.9326582599835234,0.9350445973095259,0.9977703756923307,0.99779;0.9997;0.99963;0.99729;0.99673;0.99854;0.99934;1.0;0.99969;0.999;0.98778,0.24479546668049978,0.1094660720491375,0.0888551734026663,0.90343;0.96137;0.93333;0.875;0.96303;0.95447;0.98742;0.98838;0.91675;0.91304;0.86301,0.99724;0.99808;0.99872;0.99721;0.98683;0.993;0.98241;0.99982;1.0;0.99815;0.98361
RF,test,auroc,0.9834654163450337,0.8358645516931038,0.8182763390153519,0.8187451539387864,0.9834654163450337,0.97966;0.98906;0.99331;0.97774;0.9608;0.96558;0.99676;0.99877;0.99948;0.99125;0.96571,0.527414502616555,0.24680535052485053,0.08682775535663784,0.80985;0.7449;0.7768;0.70828;0.65601;0.7374;0.91903;0.98168;0.9658;0.87115;0.83015,0.97778;0.9897;0.99017;0.9957;0.97531;0.9754;0.99262;0.98827;0.99768;0.98799;0.9479
LR,train,auroc,0.9862410861637724,0.8565724371401291,0.8471403981210002,0.8340267630303603,0.9862410861637724,0.9744;0.99015;0.99084;0.99817;0.96509;0.96413;0.99765;0.99975;0.99988;0.99274;0.97585,0.42453361659625577,0.2060822037383639,0.01764809751630845,0.7771;0.81511;0.78556;0.95251;0.70754;0.70107;0.94435;0.9801;0.98956;0.9063;0.75934,0.97623;0.98453;0.98648;0.99368;0.97529;0.97674;0.99394;0.99798;0.99778;0.9837;0.97665
LR,val,auroc,0.9963136766165753,0.9283623478662764,0.9116057901855122,0.9110631995814277,0.9963136766165753,0.99531;0.99891;0.9989;0.99436;0.99492;0.99691;0.99911;0.99995;0.9999;0.99888;0.9823,0.24412939890714647,0.11667185132184119,0.044587073005967814,0.88785;0.95279;0.87556;0.81888;0.93662;0.92936;0.99226;0.98064;0.93657;0.91871;0.79843,0.99206;0.99601;0.99665;0.99574;0.98531;0.98907;0.98864;0.99963;1.0;0.99648;0.98194
LR,test,auroc,0.975627253340003,0.8069524130948363,0.7808827642056957,0.7784079346427709,0.975627253340003,0.9681;0.98004;0.98486;0.96282;0.95302;0.94479;0.99622;0.99782;0.99943;0.98978;0.95501,0.5929217132005977,0.2755905720576526,0.014093227024863413,0.76544;0.66837;0.7024;0.64459;0.64293;0.66819;0.91324;0.97252;0.9658;0.86067;0.78556,0.97085;0.98264;0.9844;0.99382;0.96971;0.97167;0.99179;0.98933;0.99668;0.98595;0.95061
