epoch,loss,val_loss,accuracy,val_accuracy,balanced_accuracy,val_balanced_accuracy
0,2.622508196839937,2.6597214598320797,0.05364161849710983,0.05727424749163879,0.1020035254385419,0.1090382568122803
1,0.38570601798148973,0.06808785094963667,0.8793063583815028,0.9857859531772575,0.8715161016891769,0.9884129353779308
2,0.09879294180226923,0.061165391850630975,0.9727938342967245,0.9845317725752508,0.9679657842681344,0.987288202390328
3,0.05582425017864488,0.07443900122291668,0.98504816955684,0.9824414715719063,0.981864226529849,0.9845592136428138
4,0.03625942194881007,0.06981798353601858,0.9912909441233141,0.9874581939799331,0.989327188708031,0.9891921986571647
5,0.036167227093395926,0.0677443694908882,0.990057803468208,0.9870401337792643,0.987998284199585,0.9903042513240368
6,0.032319840392697176,0.05955444598402267,0.9916763005780347,0.9916387959866221,0.9893832955041059,0.9937663108815851
7,0.013457551278130857,0.05912131900248121,0.996840077071291,0.9895484949832776,0.9962672437288839,0.9917688539180098
8,0.01949115367128957,0.08191417360734382,0.9949132947976879,0.9811872909698997,0.9940369258702172,0.9814263956594454
9,0.012535414390718145,0.09052595541030667,0.9961464354527938,0.9845317725752508,0.9957689872664374,0.9874791399864699
10,0.014176272691616892,0.07190743940929106,0.9966859344894027,0.9828595317725752,0.9956619497091171,0.9829529412627519
11,0.030734438797268795,0.08211853735173825,0.9919845857418111,0.9841137123745819,0.9902988942604037,0.9883805391227036
12,0.013314487147423113,0.07151332959831758,0.996840077071291,0.9849498327759197,0.9956511013960672,0.9868064196249052
13,0.028025536828518258,0.0728795554077745,0.9928323699421965,0.9853678929765887,0.9908590411182513,0.9876633451530613
14,0.012174964164722862,0.07462892311323048,0.9969942196531791,0.9857859531772575,0.9966315262627504,0.9903531687652344
15,0.00807315600730895,0.08366955528939049,0.9979961464354528,0.9882943143812709,0.9980637077142721,0.9907922664459523
16,0.0063865853005998655,0.055112988504279016,0.9979190751445086,0.9912207357859532,0.9977427185401605,0.993462235794896
17,0.011525160109405344,0.05831521652314974,0.996840077071291,0.9887123745819398,0.9960586068337801,0.9896226394285147
18,0.013183640843626965,0.07041592444339922,0.9964547206165704,0.9887123745819398,0.9955460953323306,0.9912366266502396
19,0.013122046551324413,0.05912637186663406,0.9962235067437379,0.9874581939799331,0.9958979585830849,0.9897127060344428
20,0.00817215652953338,0.04764598152011533,0.9979190751445086,0.9903846153846154,0.9975684068276753,0.9921346107815446
21,0.007748568827871356,0.0682598869612185,0.998150289017341,0.9870401337792643,0.997932262495823,0.989100490199879
22,0.009259135796614925,0.07482812862631469,0.9973025048169557,0.9862040133779264,0.9972383901067077,0.9896080450577478
23,0.012320984106417566,0.056520811316361,0.9962235067437379,0.9887123745819398,0.9963090289857927,0.9909724373173728
24,0.009844347925332729,0.06049916864587711,0.9974566473988439,0.9895484949832776,0.9968883910492022,0.9921414676776084
25,0.02115675205052588,0.07742700653530682,0.9951445086705202,0.9824414715719063,0.9936537510528365,0.9798339969349681
26,0.01256243867092624,0.06357755938102569,0.996840077071291,0.9870401337792643,0.9963374955440337,0.9897848998239973
27,0.00551785883798779,0.05723715782240282,0.9986127167630058,0.9882943143812709,0.9985406590321713,0.9905646511689556
28,0.002558713881568068,0.05020903460183072,0.9993063583815028,0.9895484949832776,0.9992919108380753,0.9926406827844922
29,0.004912267901211517,0.057623204155311136,0.9985356454720616,0.9887123745819398,0.9985161208702525,0.9914710557670546
30,0.0027305056959900267,0.05169844862858587,0.9993063583815028,0.9903846153846154,0.9993473064537757,0.9931891198996149
