epoch,loss,val_loss,accuracy,val_accuracy,balanced_accuracy,val_balanced_accuracy
0,1.486078152505937,1.4998796919424038,0.3026662699918955,0.32348596750369274,0.20292857502786948,0.20066044450332074
1,0.27187932581490615,0.20571941711789923,0.9137334961067739,0.9504246676514032,0.9017511759769998,0.9263724955259192
2,0.15800018859733017,0.14853471679340613,0.952357992141736,0.9631646971935007,0.9454244148926136,0.9526118760104869
3,0.1259698511513391,0.1574685707512247,0.9618781866491583,0.9499630723781388,0.9569642801178949,0.947077596196781
4,0.10575902654023718,0.17575696623571865,0.9663510366548006,0.9718426883308715,0.9636222461883965,0.9493253705951126
5,0.09126241821805448,0.13252531182422594,0.9704340511094925,0.9680576070901034,0.9684574844255949,0.9592825483736114
6,0.07813981232312675,0.13153197220698593,0.9752044071934918,0.9671344165435746,0.9742146883948064,0.9589401182167084
7,0.06761759754383018,0.1290894276634453,0.977317726232855,0.9676883308714919,0.9763255241391895,0.9607168417354706
8,0.05938698121637165,0.1640163607389131,0.9794925982539471,0.9519940915805022,0.9796588976445367,0.946124927000814
9,0.05223319239787766,0.1458681042428559,0.981287893554377,0.9587333825701625,0.9820078839432911,0.959131675928992
10,0.047451219219518996,0.16540830075036475,0.982980600551925,0.9764586410635155,0.9835790347968613,0.9581608754800238
11,0.042288583057651284,0.1598889293008796,0.9849400371369657,0.9747045790251108,0.9855530744352159,0.9578523324981599
12,0.038584213135773274,0.1648181665584203,0.9863147203955805,0.968426883308715,0.9870590119659933,0.9555557630279707
13,0.03476591567388808,0.2030087441227989,0.9876483683330427,0.9754431314623339,0.9886974462779069,0.9568906589785566
14,0.031229794456013444,0.19708270334708813,0.9890846045733865,0.9738737075332349,0.9898990622232102,0.9546674826632301
15,0.02861913344814846,0.18700735796754697,0.9898437580147111,0.9735044313146234,0.9905875894029407,0.9589945508471712
16,0.028683486222406494,0.20514927568956878,0.9898129815238467,0.9770125553914328,0.990535453608986,0.9599085383845302
17,0.02855074352830219,0.18536933582479703,0.989535993106066,0.9759970457902511,0.9901650554948364,0.960870379732707
18,0.02328454092994456,0.16561454918615223,0.9915159473516829,0.9736890694239291,0.9924515157475383,0.9634480757258074
19,0.024284521100828477,0.18554941905412048,0.9911671471218851,0.9733197932053176,0.9916834735340894,0.9622587139713634
20,0.02403849827819825,0.18539088646684562,0.9913928413882249,0.9730428360413589,0.9918752768341423,0.9611694782901546
21,0.021893080206187604,0.17368219011742483,0.9922032889809904,0.9731351550960118,0.9929184377697539,0.9631470221605125
22,0.02159589341856705,0.21166060229369948,0.9920699241872442,0.9757200886262924,0.9928981118825397,0.9580882125465889
23,0.018664990325596036,0.2572202876188202,0.9932086543492311,0.9762740029542097,0.9937288722298643,0.9544074788137411
24,0.01791444560428345,0.21701061976537042,0.9933112426521128,0.9764586410635155,0.9941784807198869,0.9584095369626564
25,0.018212106594526756,0.1794389077961621,0.9935164192578763,0.9709194977843427,0.9942390659957285,0.9618060551760488
26,0.018293374456292196,0.23329976116316709,0.9931676190280784,0.9711964549483013,0.9940521503693225,0.9551530570797986
27,0.02103656084170043,0.20590614333220564,0.9918442299209044,0.9724889217134417,0.9927074492597031,0.962204993574503
28,0.01701521992157868,0.20987031991528884,0.9937318546939278,0.9734121122599705,0.9943666230545822,0.9599186279976828
29,0.01672608076524842,0.18493162048774245,0.9937010782030633,0.9741506646971935,0.9944413197441613,0.9625576514248715
30,0.015045108120365164,0.21459442234021697,0.9946038552684223,0.9764586410635155,0.9951896449588341,0.9618308874551504
