model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,macro_f1,0.9998646976369258,0.9998458574181117,0.9998843395789963,0.9998646976369258,1.0,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,0.004613933418196148,0.00034815456573815634,0.004400778189647191,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99873,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99983;1.0
SVC,val,macro_f1,0.9646577897687284,0.9669732441471572,0.9659726557533238,0.9646577897687284,0.9988357995662248,0.99605;0.99997;0.99998;0.99997;0.9985;0.99998;0.99962;0.99946;0.99794;0.99743;0.9983,0.1498698674043467,0.05764191879519964,0.010006282828132713,0.95812;0.9902;0.96875;0.97525;0.96212;0.99363;0.99301;0.97118;0.94886;0.89385;0.97073,1.0;0.99869;1.0;1.0;0.98982;0.99866;0.99083;1.0;0.99706;0.99684;0.99131
SVC,test,macro_f1,0.9082503139696537,0.9150438169425511,0.9041668501241283,0.9082503139696537,0.9921129125987727,0.97171;0.99611;0.99778;0.99184;0.98587;0.98414;0.99952;0.99929;0.99875;0.9927;0.99553,0.31196306268917745,0.1284971049374009,0.017075010283867525,0.89493;0.88399;0.91686;0.85511;0.82256;0.74422;0.98583;0.96903;0.98205;0.95467;0.93659,0.98227;0.99461;0.99487;0.99962;0.97997;0.99104;0.99389;0.99974;0.99948;0.98634;0.98373
RF,train,macro_f1,0.9865766215564679,0.9865895953757226,0.9878982737684505,0.9865766215564679,0.9998358665937211,0.99979;0.99996;0.99996;1.0;0.9995;0.99952;0.99996;1.0;1.0;0.99968;0.99982,0.164516377936473,0.0613193021588106,0.10995561453224376,0.98345;0.99354;0.99664;0.99833;0.9761;0.97863;0.99196;0.999;1.0;0.98039;0.96883,0.9967;0.99968;0.99903;0.99968;0.99706;0.99848;0.9997;1.0;0.99983;0.99653;0.9986
RF,val,macro_f1,0.9533545987669878,0.9590301003344481,0.9544415138525042,0.9533545987669878,0.9985044564379457,0.99333;0.99966;0.99973;0.9998;0.99944;0.99999;0.99926;0.9999;0.99693;0.99668;0.99885,0.21854454857213074,0.08613693705452151,0.08456961904965424,0.96335;0.97059;0.91667;0.9505;0.96212;0.99363;0.98601;0.97118;0.94886;0.86034;0.97561,0.99955;0.99651;0.99869;0.99909;0.99027;0.99955;0.98981;1.0;0.99657;0.99774;0.98674
RF,test,macro_f1,0.8789673761390863,0.8893622200584226,0.8775853153062025,0.8789673761390863,0.9917661289523045,0.9865;0.99377;0.9936;0.99196;0.98036;0.97921;0.99882;0.99986;0.99929;0.99268;0.99339,0.4135420989965126,0.1827355740130577,0.11021802423514203,0.85386;0.83527;0.86698;0.86698;0.76204;0.70476;0.97384;0.96721;0.98743;0.92133;0.91372,0.97618;0.99062;0.99192;0.99756;0.97997;0.99011;0.99467;0.99948;0.99634;0.98433;0.97643
LR,train,macro_f1,0.9951569738328137,0.9952215799614643,0.9954901349593892,0.9951569738328137,0.9999592496112698,1.0;1.0;1.0;1.0;0.99977;0.99983;1.0;1.0;1.0;0.99998;0.99998,0.039775973640216795,0.014452114373292954,0.02693566741262146,0.99913;1.0;1.0;1.0;0.98438;0.97949;0.99866;1.0;1.0;0.99574;0.993,0.99966;0.99992;0.99984;1.0;0.99748;0.99856;1.0;1.0;0.99992;0.99958;0.99982
LR,val,macro_f1,0.9682404526552641,0.9732441471571907,0.9701239884030051,0.9682404526552641,0.9995107276454349,0.99945;0.99969;0.99971;0.99997;0.99913;0.99994;0.99984;0.99964;0.99928;0.99848;0.99949,0.09422948624044922,0.044042643779601744,0.007476564119976439,0.96335;0.98039;0.9375;0.9901;0.96212;1.0;0.99767;0.98271;0.9517;0.94972;0.9561,0.99955;0.99738;0.99913;1.0;0.99248;0.99642;0.9944;1.0;0.99706;0.99684;0.99726
LR,test,macro_f1,0.9102304994916106,0.9206426484907497,0.9093005260510396,0.9102304994916106,0.9939861087131547,0.99209;0.99645;0.99573;0.99147;0.98545;0.98401;0.99975;0.99745;0.99975;0.9945;0.9972,0.267901183638554,0.11987912268940366,0.01667737592840088,0.91063;0.87471;0.88361;0.89786;0.81706;0.76327;0.98638;0.97632;0.98384;0.95333;0.9553,0.98687;0.99191;0.99217;0.99923;0.98358;0.98971;0.99812;0.99843;0.99896;0.98862;0.98511
