model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,bacc,0.9998843395789963,0.9998458574181117,0.9998843395789963,0.9998646976369258,1.0,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,0.004613933418196152,0.00034815456573816236,0.004400778189647198,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99873,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99983;1.0
SVC,val,bacc,0.9659726557533238,0.9669732441471572,0.9659726557533238,0.9646577897687284,0.9988357995662248,0.99605;0.99997;0.99998;0.99997;0.9985;0.99998;0.99962;0.99946;0.99794;0.99743;0.9983,0.14986986740434677,0.057641918795199705,0.010006282828132639,0.95812;0.9902;0.96875;0.97525;0.96212;0.99363;0.99301;0.97118;0.94886;0.89385;0.97073,1.0;0.99869;1.0;1.0;0.98982;0.99866;0.99083;1.0;0.99706;0.99684;0.99131
SVC,test,bacc,0.9041668501241283,0.9150438169425511,0.9041668501241283,0.9082503139696537,0.9921129125987727,0.97171;0.99611;0.99778;0.99184;0.98587;0.98414;0.99952;0.99929;0.99875;0.9927;0.99553,0.31196306268917756,0.12849710493740094,0.017075010283867764,0.89493;0.88399;0.91686;0.85511;0.82256;0.74422;0.98583;0.96903;0.98205;0.95467;0.93659,0.98227;0.99461;0.99487;0.99962;0.97997;0.99104;0.99389;0.99974;0.99948;0.98634;0.98373
RF,train,bacc,0.9948835306030831,0.9942196531791907,0.9948835306030831,0.9943619140919353,0.999956501751215,0.99995;0.99999;0.99999;1.0;0.99989;0.99987;0.99999;1.0;1.0;0.99988;0.99997,0.13874879152997313,0.04867287036591487,0.10404194713182305,0.99477;0.99677;0.99832;1.0;0.99081;0.99487;0.99665;1.0;1.0;0.98806;0.98346,0.99797;1.0;0.99968;0.99984;0.99874;0.99941;0.9997;1.0;1.0;0.99864;0.99965
RF,val,bacc,0.9540847587166756,0.9581939799331104,0.9540847587166756,0.9531638372597548,0.9987993596185066,0.99546;0.99966;0.99974;0.99973;0.99959;0.99999;0.99932;0.9999;0.99781;0.99685;0.99875,0.21084958207532756,0.08482773887490794,0.08173105086629924,0.96335;0.97059;0.90625;0.93564;0.97727;1.0;0.98601;0.96542;0.94886;0.86592;0.97561,1.0;0.99607;0.99869;0.99909;0.99159;0.99911;0.98777;1.0;0.99657;0.99774;0.98674
RF,test,bacc,0.8804130341845086,0.8927702044790652,0.8804130341845086,0.8827024536928118,0.9919847955677121,0.98743;0.99421;0.99345;0.99147;0.98133;0.97975;0.99885;0.99987;0.99943;0.99238;0.99366,0.408109456219458,0.1796017227144869,0.10938457820000448,0.85749;0.84919;0.86698;0.85986;0.76479;0.70068;0.97711;0.96903;0.98743;0.92267;0.92931,0.97821;0.99191;0.99205;0.99833;0.98024;0.98931;0.99373;0.99948;0.99647;0.98486;0.97656
LR,train,bacc,0.9852266834719609,0.9847398843930636,0.9852266834719609,0.9841207882419618,0.9997651511577317,0.99992;0.99998;0.99998;1.0;0.99892;0.99918;0.99998;1.0;1.0;0.99969;0.99977,0.07301780641208391,0.03079973306465339,0.035407866195758184,0.99129;0.99515;0.9916;1.0;0.96048;0.94872;0.99531;1.0;1.0;0.98039;0.97455,0.9978;0.99935;0.99919;0.99976;0.9942;0.99678;1.0;1.0;0.99992;0.99771;0.9986
LR,val,bacc,0.9704402133007128,0.971989966555184,0.9704402133007128,0.9677929739300595,0.9994762013064634,0.999;0.99973;0.99976;0.99994;0.99931;0.99995;0.99975;0.99961;0.99913;0.99836;0.9997,0.10109500109983736,0.04554458587092418,0.014916874744161904,0.96859;0.97059;0.9375;0.9901;0.9697;1.0;0.98368;0.97695;0.9517;0.95531;0.97073,0.99818;0.99738;0.99913;0.99863;0.99336;0.99732;0.99542;1.0;0.99657;0.99548;0.99771
LR,test,bacc,0.9032864664964031,0.9148003894839338,0.9032864664964031,0.9032817303525307,0.9936848870595305,0.99062;0.99612;0.99611;0.99255;0.98535;0.98355;0.99966;0.99658;0.99979;0.99309;0.99712,0.27200744308007907,0.12457258094723837,0.007941354962524377,0.90338;0.85615;0.89074;0.89311;0.81155;0.7415;0.98202;0.97086;0.98384;0.94667;0.95634,0.98592;0.99178;0.99064;0.99808;0.98304;0.99024;0.99765;0.9987;0.99817;0.98741;0.9847
