model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,macro_f1,0.9972708806977156,0.9972254335260116,0.9973930504054401,0.9972708806977156,0.9999929698134696,1.0;1.0;1.0;1.0;0.99998;0.99998;1.0;1.0;1.0;0.99998;0.99999,0.016836849650099128,0.004615604817960059,0.010597464343814136,0.99913;1.0;1.0;1.0;0.99449;0.98718;0.99967;1.0;1.0;0.99659;0.99427,0.99992;1.0;1.0;1.0;0.99857;0.99958;1.0;1.0;1.0;0.99907;0.99982
SVC,val,macro_f1,0.9567746804719697,0.959866220735786,0.9595584678352452,0.9567746804719697,0.9988047583709929,0.99843;0.99979;0.99981;0.99996;0.99859;0.99998;0.99937;0.99967;0.99718;0.99748;0.99658,0.1639578334635179,0.06439941455261165,0.008263189371149147,0.95288;0.96078;0.97917;0.97525;0.9697;0.98726;0.98135;0.96254;0.94602;0.89385;0.94634,1.0;0.99913;0.99869;0.99954;0.9885;0.99866;0.99134;1.0;0.99804;0.99548;0.98628
SVC,test,macro_f1,0.882366277765005,0.8927702044790652,0.877601665439867,0.882366277765005,0.989312250858958,0.972;0.99267;0.99609;0.99019;0.97734;0.97516;0.99943;0.99918;0.99846;0.99054;0.99137,0.37535147247353284,0.15876366411149337,0.024528170652050808,0.87198;0.82135;0.86936;0.81235;0.77717;0.70748;0.97875;0.96903;0.98384;0.95067;0.91164,0.9797;0.99319;0.9923;0.99962;0.97503;0.98743;0.99514;0.99961;0.99882;0.98379;0.97656
RF,train,macro_f1,0.9980682886631314,0.9978420038535646,0.9983827215035335,0.9980682886631314,0.999992276834783,1.0;1.0;1.0;1.0;0.99999;0.99998;1.0;1.0;1.0;0.99996;0.99999,0.1380300765474508,0.044541518610507466,0.11186258863952772,0.99913;1.0;1.0;1.0;0.9954;0.99829;0.99766;1.0;1.0;1.0;0.99173,0.99958;1.0;1.0;0.99992;0.9995;0.99992;1.0;1.0;1.0;0.9989;0.99982
RF,val,macro_f1,0.9488508432076511,0.9531772575250836,0.9486958754753861,0.9488508432076511,0.9989772694947722,0.99925;0.99976;0.99989;0.99976;0.99881;0.99998;0.99914;0.99994;0.99816;0.99634;0.99773,0.22912734407489693,0.09162018478216938,0.0903714358085464,0.93717;0.9902;0.91667;0.92079;0.94697;1.0;0.97669;0.97983;0.94886;0.83799;0.98049,1.0;0.99651;0.99956;0.99954;0.99159;0.99911;0.98574;1.0;0.99706;0.99638;0.98217
RF,test,macro_f1,0.8781708815796712,0.8887536514118792,0.8747314649358311,0.8781708815796712,0.9913128498305604,0.98924;0.99317;0.99482;0.98614;0.9822;0.97824;0.99897;0.99967;0.99957;0.99233;0.99009,0.46726810156063275,0.19912729939799304,0.1410355545262971,0.86715;0.79582;0.89549;0.82898;0.74553;0.6898;0.97602;0.97632;0.98743;0.94267;0.91684,0.97645;0.99332;0.98974;0.99897;0.98331;0.98837;0.99326;0.99948;0.9983;0.98286;0.97243
LR,train,macro_f1,0.9379228647087683,0.9446628131021194,0.9401194875871671,0.9379228647087683,0.9977604791799153,0.99802;0.9986;0.99856;1.0;0.99175;0.99395;0.9999;1.0;1.0;0.99746;0.99712,0.16377818992281065,0.08148209227165838,0.02471079415170763,0.9338;0.91761;0.92437;0.99833;0.84191;0.85897;0.9866;1.0;1.0;0.94714;0.93257,0.99315;0.99506;0.99443;0.99952;0.98427;0.98806;0.9987;0.99992;0.99958;0.99373;0.99298
LR,val,macro_f1,0.9526718231862616,0.9573578595317725,0.9568471817390285,0.9526718231862616,0.9990953936548407,0.99985;0.99943;0.99949;0.99993;0.99892;0.99994;0.9991;0.99983;0.99918;0.99715;0.99722,0.1470927792644684,0.06750803714942398,0.016431031609868557,0.95812;0.94118;0.94792;1.0;0.95455;1.0;0.94639;0.97695;0.94886;0.90503;0.94634,1.0;0.99738;0.99739;0.99817;0.99381;0.99687;0.99389;1.0;0.99657;0.99141;0.98765
LR,test,macro_f1,0.8761505721115885,0.8881450827653359,0.8767283242040725,0.8761505721115885,0.9898437287270782,0.9883;0.99271;0.99421;0.98678;0.97516;0.97301;0.99943;0.99779;0.99939;0.99125;0.99025,0.35594636693694404,0.1645473678916763,0.009465895046111616,0.86353;0.82135;0.87173;0.86461;0.73728;0.70612;0.97112;0.97814;0.98564;0.94533;0.89917,0.98538;0.98882;0.98768;0.99846;0.97677;0.98129;0.99655;0.99909;0.99882;0.98661;0.97739
