model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,auroc,1.0,0.9998458574181117,0.9998843395789963,0.9998646976369258,1.0,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,0.004613933418196148,0.00034815456573815634,0.004400778189647191,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99873,1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99983;1.0
SVC,val,auroc,0.9988357995662248,0.9669732441471572,0.9659726557533238,0.9646577897687284,0.9988357995662248,0.99605;0.99997;0.99998;0.99997;0.9985;0.99998;0.99962;0.99946;0.99794;0.99743;0.9983,0.1498698674043467,0.05764191879519964,0.010006282828132713,0.95812;0.9902;0.96875;0.97525;0.96212;0.99363;0.99301;0.97118;0.94886;0.89385;0.97073,1.0;0.99869;1.0;1.0;0.98982;0.99866;0.99083;1.0;0.99706;0.99684;0.99131
SVC,test,auroc,0.9921129125987727,0.9150438169425511,0.9041668501241283,0.9082503139696537,0.9921129125987727,0.97171;0.99611;0.99778;0.99184;0.98587;0.98414;0.99952;0.99929;0.99875;0.9927;0.99553,0.31196306268917745,0.1284971049374009,0.017075010283867525,0.89493;0.88399;0.91686;0.85511;0.82256;0.74422;0.98583;0.96903;0.98205;0.95467;0.93659,0.98227;0.99461;0.99487;0.99962;0.97997;0.99104;0.99389;0.99974;0.99948;0.98634;0.98373
RF,train,auroc,0.9999886293538224,0.9974566473988439,0.9978418398314409,0.9975919278117378,0.9999886293538224,0.99999;1.0;1.0;1.0;0.99998;0.99997;1.0;1.0;1.0;0.99994;0.99999,0.11897250938233468,0.03918205457286983,0.09519209256319378,0.99739;1.0;1.0;1.0;0.99724;0.99829;0.999;0.999;1.0;0.99488;0.99046,0.99924;1.0;1.0;0.99992;0.99933;0.99966;0.9999;1.0;0.99992;0.99924;1.0
RF,val,auroc,0.9988247796685727,0.9569397993311036,0.9519290280941718,0.9518386727514895,0.9988247796685727,0.99574;0.99966;0.99971;0.99983;0.99944;0.99999;0.99941;0.99991;0.99798;0.99668;0.99871,0.20713282880266384,0.08391670228434697,0.07672614944482624,0.95812;0.96078;0.91667;0.92574;0.96212;1.0;0.98834;0.97118;0.94602;0.87151;0.97073,0.99955;0.99651;0.99869;0.99954;0.99115;0.99955;0.98675;1.0;0.99657;0.99729;0.98628
RF,test,auroc,0.9919094014227837,0.8925267770204479,0.8798013972113801,0.8827825171251718,0.9919094014227837,0.98788;0.99363;0.99384;0.98937;0.98181;0.9805;0.99892;0.99971;0.99848;0.99317;0.9937,0.41469281214547404,0.17656894677129076,0.10491361163714831,0.85628;0.84223;0.87886;0.85036;0.76204;0.70476;0.97875;0.96721;0.98743;0.92267;0.92723,0.97753;0.99281;0.99192;0.99846;0.98064;0.98904;0.99295;0.99935;0.99674;0.98527;0.97601
LR,train,auroc,0.9998394012185208,0.9885934489402698,0.9891874258122906,0.9884125930415588,0.9998394012185208,0.99996;0.99999;1.0;1.0;0.99921;0.99943;1.0;1.0;1.0;0.9998;0.99985,0.06517609514604893,0.02611978290579159,0.03615331515168857,0.99216;0.99838;0.99832;1.0;0.97059;0.95641;0.99665;1.0;1.0;0.98636;0.98219,0.99873;0.99976;0.99952;0.99992;0.99478;0.99712;0.9999;1.0;0.99992;0.99856;0.9993
LR,val,auroc,0.9995868645186373,0.9715719063545151,0.9696139752812455,0.9672005151170453,0.9995868645186373,0.99976;0.99981;0.99982;1.0;0.99941;0.99996;0.99977;0.99963;0.99924;0.99854;0.99952,0.09642265763574172,0.043754952074434215,0.013369997740470846,0.96859;0.98039;0.9375;0.99505;0.96212;1.0;0.98834;0.97695;0.9517;0.94413;0.96098,0.99955;0.99738;0.99913;0.99954;0.99204;0.99776;0.99491;1.0;0.99608;0.99548;0.9968
LR,test,auroc,0.9941670003796811,0.9206426484907497,0.9105860066142644,0.9102267047554959,0.9941670003796811,0.99245;0.99629;0.99632;0.99134;0.98474;0.984;0.99972;0.99962;0.99954;0.99461;0.99722,0.2582100229917045,0.11806754477268441,0.004744359277879313,0.90459;0.87935;0.90261;0.89549;0.81981;0.75918;0.98311;0.9745;0.98384;0.95867;0.9553,0.98687;0.99178;0.99166;0.99923;0.98398;0.98944;0.99812;0.99739;0.99856;0.98808;0.98773
