model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,auroc,0.9999929698134696,0.9972254335260116,0.9973930504054401,0.9972708806977156,0.9999929698134696,1.0;1.0;1.0;1.0;0.99998;0.99998;1.0;1.0;1.0;0.99998;0.99999,0.016836849650099128,0.004615604817960059,0.010597464343814136,0.99913;1.0;1.0;1.0;0.99449;0.98718;0.99967;1.0;1.0;0.99659;0.99427,0.99992;1.0;1.0;1.0;0.99857;0.99958;1.0;1.0;1.0;0.99907;0.99982
SVC,val,auroc,0.9988047583709929,0.959866220735786,0.9595584678352452,0.9567746804719697,0.9988047583709929,0.99843;0.99979;0.99981;0.99996;0.99859;0.99998;0.99937;0.99967;0.99718;0.99748;0.99658,0.1639578334635179,0.06439941455261165,0.008263189371149147,0.95288;0.96078;0.97917;0.97525;0.9697;0.98726;0.98135;0.96254;0.94602;0.89385;0.94634,1.0;0.99913;0.99869;0.99954;0.9885;0.99866;0.99134;1.0;0.99804;0.99548;0.98628
SVC,test,auroc,0.989312250858958,0.8927702044790652,0.877601665439867,0.882366277765005,0.989312250858958,0.972;0.99267;0.99609;0.99019;0.97734;0.97516;0.99943;0.99918;0.99846;0.99054;0.99137,0.37535147247353284,0.15876366411149337,0.024528170652050808,0.87198;0.82135;0.86936;0.81235;0.77717;0.70748;0.97875;0.96903;0.98384;0.95067;0.91164,0.9797;0.99319;0.9923;0.99962;0.97503;0.98743;0.99514;0.99961;0.99882;0.98379;0.97656
RF,train,auroc,0.9987615884105921,0.9638535645472062,0.9647024203551232,0.962801173937012,0.9987615884105921,0.99879;0.99966;0.99952;1.0;0.99545;0.99722;0.99975;1.0;1.0;0.99875;0.99726,0.278975118323008,0.11420433976059575,0.15589389554201347,0.95122;0.96931;0.98319;0.99833;0.9182;0.91453;0.98727;0.999;0.99902;0.95908;0.93257,0.99239;0.99927;0.99717;0.99927;0.99066;0.99636;0.9991;1.0;0.99967;0.99254;0.99377
RF,val,auroc,0.9989296094339332,0.947324414715719,0.9431341394900576,0.942383316017024,0.9989296094339332,0.99902;0.99975;0.99984;0.99972;0.99885;0.99997;0.99873;0.99996;0.99876;0.99618;0.99747,0.2566690727745569,0.10180327335540826,0.10877497299005022,0.9267;0.97059;0.92708;0.92079;0.94697;0.98726;0.96037;0.98271;0.94886;0.8324;0.97073,1.0;0.99694;0.99869;0.99863;0.99027;0.99911;0.98625;1.0;0.99755;0.99503;0.97897
RF,test,auroc,0.989854900891585,0.872809152872444,0.8585371278849695,0.8593617503559755,0.989854900891585,0.98819;0.99109;0.99223;0.9877;0.97879;0.97406;0.99837;0.9997;0.9997;0.99303;0.98555,0.5077684578539693,0.2232203813283314,0.15784719152639845,0.85266;0.73782;0.88599;0.84086;0.73177;0.64626;0.96948;0.97268;0.98743;0.94267;0.8763,0.97469;0.99319;0.98319;0.99743;0.98037;0.98931;0.99373;0.99948;0.99765;0.98058;0.96967
LR,train,auroc,0.9966181911482014,0.9304816955684008,0.925089278713518,0.9219465099755844,0.9966181911482014,0.99684;0.99769;0.99757;0.99997;0.98883;0.9918;0.99965;1.0;0.99999;0.99594;0.99453,0.22710867429063428,0.10590538264914497,0.04990404933931486,0.90331;0.89338;0.90756;0.995;0.81342;0.84188;0.98058;0.99701;0.99706;0.93521;0.91158,0.99188;0.99442;0.99289;0.99798;0.98233;0.9867;0.998;0.99983;0.999;0.99051;0.99027
LR,val,auroc,0.99916706776116,0.9540133779264214,0.9531909365186457,0.9492723847870868,0.99916706776116,0.9998;0.99944;0.99949;0.99988;0.9994;0.99997;0.99912;0.99985;0.99918;0.99773;0.99698,0.16045678963288168,0.0697755714189422,0.04265807783036758,0.95812;0.94118;0.94792;1.0;0.95455;1.0;0.94172;0.97695;0.9517;0.87151;0.94146,1.0;0.99782;0.99739;0.99772;0.99292;0.99642;0.99338;1.0;0.99608;0.99277;0.98491
LR,test,auroc,0.9891030420507607,0.8829113924050633,0.8700393846099916,0.8679974706500477,0.9891030420507607,0.98727;0.99177;0.9933;0.98658;0.97426;0.97121;0.99907;0.99794;0.99967;0.98924;0.98983,0.37342479832086656,0.17170744765098606,0.03324321709355206,0.8599;0.78654;0.86461;0.86698;0.74278;0.68163;0.97166;0.9745;0.98564;0.94533;0.89085,0.98308;0.98754;0.98499;0.99756;0.9785;0.98369;0.99608;0.99804;0.9983;0.98339;0.98015
