k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
46,0.9263267079566441,0.9245317685638165,0.8233552612033217,0.8269791734838892,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
47,0.9299854370468134,0.9299854370468134,0.8308981107177131,0.8308981107177131,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
48,0.9309557323668878,0.9309557323668878,0.8306592229848646,0.8306592229848646,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
49,0.9331240909336249,0.9331240909336249,0.8330470342709878,0.8330470342709878,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
50,0.9331240909336249,0.9321128866393282,0.8330470342709878,0.8381859443567284,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
51,0.9331240909336249,0.9320608794938354,0.8330470342709878,0.8355835581283833,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
52,0.9353305139115303,0.9353305139115303,0.8395929972861732,0.8395929972861732,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
53,0.9358383859277822,0.9358383859277822,0.8375045419793361,0.8375045419793361,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
54,0.9362884309322826,0.9362884309322826,0.8377595699014718,0.8377595699014718,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
55,0.9362884309322826,0.9353507804911682,0.8377595699014718,0.8397945786543792,lr,L16_WD01_asinh_R18_128,false_false,asinh,doctor,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
