individual,acc,bacc,macro_f1,auroc,ece
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3001,0.3703307195972339,0.40687018677963505,0.31294846992763126,0.782105199837067,0.16645679438676247
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3002,0.09638031306964498,0.18275819317239494,0.08612341988672362,0.7174257435268743,0.042474806214684975
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3003,0.1529758976881456,0.25216205328872354,0.11396177748713193,0.7457327406771566,0.011651266515575938
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3004,0.16055669685483637,0.24557063909639215,0.12217473138460555,0.7957190028121915,0.06494237037385696
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3101,0.0882497612916293,0.16402804295248014,0.07376636990799416,0.708124947804773,0.05692491192354659
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3102,0.48042591360203696,0.48519997221810063,0.41357745359254383,0.7864691740786561,0.3349523298893956
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3103,0.4717166748647319,0.46247518460910725,0.39096699656176936,0.7906847344474305,0.27718487048534013
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3104,0.12528572668614912,0.2439595331119038,0.1022303262766894,0.6909403934808753,0.029137648353930644
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3201,0.439368073840456,0.4508295386234745,0.3750892238921131,0.7993842796905771,0.27634647728539224
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3202,0.08781574607216226,0.16242153324667938,0.08411300836384938,0.7370698723557569,0.05537633287124159
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3203,0.16188767686120192,0.3176568527152298,0.13764250047087592,0.7555087434616454,0.006211804513680879
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3204,0.11238100749399613,0.21657082986351653,0.07256681059466595,0.6916400140869096,0.025153877069375066
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3301,0.11544804837822979,0.19275330752409175,0.05868847812485864,0.8120020081341839,0.06280121306315695
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3302,0.14354330025172882,0.24531586665873,0.12212677671850605,0.7420168832358439,0.025444202619185226
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3303,0.08949393825410144,0.1671366222502942,0.05976417840349651,0.7883786176035248,0.056237734054120934
ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3304,0.4382106999218773,0.4658992961962379,0.4023498566016576,0.7538966504569988,0.26784000353358517
