split,val_selected_individual,val_selected_acc,val_selected_bacc,val_selected_macro_f1,val_selected_auroc,val_selected_ece,best_acc,average_acc,std_acc,best_bacc,average_bacc,std_bacc,best_macro_f1,average_macro_f1,std_macro_f1,best_auroc,average_auroc,std_auroc,best_ece,average_ece,std_ece
train,ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3102,0.48042591360203696,0.48519997221810063,0.41357745359254383,0.7864691740786561,0.3349523298893956,0.48042591360203696,0.22087938717051012,0.15111766384682027,0.48519997221810063,0.2913504782691869,0.1173041009316757,0.41357745359254383,0.18300564863719448,0.1353236065202462,0.8120020081341839,0.7560686878556541,0.03814127966375301,0.006211804513680879,0.10994604019705195,0.10987682326863198
val,ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3102,0.6277923278385457,0.5973350340169692,0.5366209754743139,0.8504365130406758,0.4817000884452142,0.6277923278385457,0.24705361269450005,0.19037553741205201,0.5973350340169692,0.32803108607464243,0.1444507677930043,0.5366209754743139,0.2152946868609095,0.1656906226101149,0.8504365130406758,0.7905668979595092,0.0448412411442002,0.012818766545570901,0.13971504305918592,0.1468719135613183
test,ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3102,0.40814489818877264,0.42212195768782607,0.35334453576282554,0.7503815445629058,0.2646150672798694,0.4601754978062774,0.2091981662729216,0.13440065454583303,0.4352121998371129,0.27059000140133876,0.10321692023762648,0.3713211912362795,0.17134849333870833,0.1203265826509329,0.800725035567383,0.7431576603707982,0.038316330273441536,0.007730053422439776,0.09675981249075476,0.0941170835362588
