split,val_selected_individual,val_selected_acc,val_selected_bacc,val_selected_macro_f1,val_selected_auroc,val_selected_ece,best_acc,average_acc,std_acc,best_bacc,average_bacc,std_bacc,best_macro_f1,average_macro_f1,std_macro_f1,best_auroc,average_auroc,std_auroc,best_ece,average_ece,std_ece
train,ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3102,0.48042591360203696,0.48519997221810063,0.41357745359254383,0.7864691740786561,0.3349523298893956,0.48042591360203696,0.48042591360203696,0.0,0.48519997221810063,0.48519997221810063,0.0,0.41357745359254383,0.41357745359254383,0.0,0.7864691740786561,0.7864691740786561,0.0,0.3349523298893956,0.3349523298893956,0.0
val,ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3102,0.6277923278385457,0.5973350340169692,0.5366209754743139,0.8504365130406758,0.4817000884452142,0.6277923278385457,0.6277923278385457,0.0,0.5973350340169692,0.5973350340169692,0.0,0.5366209754743139,0.5366209754743139,0.0,0.8504365130406758,0.8504365130406758,0.0,0.4817000884452142,0.4817000884452142,0.0
test,ORGANAMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__3102,0.40814489818877264,0.42212195768782607,0.35334453576282554,0.7503815445629058,0.2646150672798694,0.40814489818877264,0.40814489818877264,0.0,0.42212195768782607,0.42212195768782607,0.0,0.35334453576282554,0.35334453576282554,0.0,0.7503815445629058,0.7503815445629058,0.0,0.2646150672798694,0.2646150672798694,0.0
