k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
45,0.943912795917124,0.943912795917124,0.9389349414164703,0.9389349414164703,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
46,0.9488167381806553,0.9488167381806553,0.9458415253453754,0.9458415253453754,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
47,0.9513080981400125,0.9513080981400125,0.9520109172980328,0.9520109172980328,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
48,0.9538627597463982,0.9538627597463982,0.9512940327709012,0.9512940327709012,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
49,0.9546571544506928,0.9546571544506928,0.9498544419983659,0.9498544419983659,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
50,0.9604421260671234,0.9604421260671234,0.9517989171458326,0.9517989171458326,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
51,0.9613042367874098,0.9613042367874098,0.9549901906254942,0.9549901906254942,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
52,0.9632706270866928,0.9632706270866928,0.9549007997265347,0.9549007997265347,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
53,0.9632706270866928,0.9586043117557501,0.9549007997265347,0.9542992464917794,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
54,0.9632706270866928,0.9599215290212434,0.9549007997265347,0.953664268872319,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
55,0.9632706270866928,0.9615900495996639,0.9549007997265347,0.9549318642013594,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
56,0.9632706270866928,0.9624521603199502,0.9549007997265347,0.9577336633199915,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
57,0.9632706270866928,0.9606211185431127,0.9549007997265347,0.9576003982183903,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
58,0.9644568684439347,0.9644568684439347,0.9589301885116228,0.9589301885116228,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
59,0.9648322438193101,0.9648322438193101,0.9590913223142357,0.9590913223142357,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
60,0.9675306389357381,0.9675306389357381,0.9602654540689378,0.9602654540689378,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
61,0.9683370905486414,0.9683370905486414,0.9606308196365995,0.9606308196365995,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
62,0.9683370905486414,0.9674749798283547,0.9606308196365995,0.9612952118621462,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
63,0.9683370905486414,0.9666685282154517,0.9606308196365995,0.9578272902705034,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
64,0.9683370905486414,0.9662878684660032,0.9606308196365995,0.9580431797350974,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
65,0.9683370905486414,0.9670439453455961,0.9606308196365995,0.958997723872349,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
66,0.9683370905486414,0.9652076609494546,0.9606308196365995,0.9591095012210945,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
67,0.9683370905486414,0.9666076682435337,0.9606308196365995,0.9588459616333556,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
68,0.9683370905486414,0.9646533348528593,0.9606308196365995,0.9595119234933855,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
69,0.9683370905486414,0.9669830853736784,0.9606308196365995,0.9589908061771539,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
70,0.9683370905486414,0.965958495209744,0.9606308196365995,0.95874341915199,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
71,0.9683370905486414,0.9668205641752613,0.9606308196365995,0.958853784973507,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
72,0.9683370905486414,0.9663338705851193,0.9606308196365995,0.9596645938830612,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
73,0.9683370905486414,0.9655153620636076,0.9606308196365995,0.9610048562792968,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
74,0.9683370905486414,0.9678451125844263,0.9606308196365995,0.9609666446946766,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
75,0.9683370905486414,0.9671959395506367,0.9606308196365995,0.9609002313331498,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
76,0.9683370905486414,0.9671655460935189,0.9606308196365995,0.96090023133315,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
77,0.9683370905486414,0.9681901362574534,0.9606308196365995,0.9626204224066814,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
78,0.9683370905486414,0.9669526501617915,0.9606308196365995,0.9612257374243595,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
79,0.969956724554214,0.969956724554214,0.9640046372629073,0.9640046372629073,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
80,0.969956724554214,0.9691503146960803,0.9640046372629073,0.9629732315778674,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
81,0.969956724554214,0.9674141198564371,0.9640046372629073,0.9609760401750371,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
82,0.969956724554214,0.967814760882078,0.9640046372629073,0.9602478556284757,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
83,0.969956724554214,0.967814760882078,0.9640046372629073,0.9615969183191414,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
84,0.969956724554214,0.9673837263993194,0.9640046372629073,0.9619215257134209,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
85,0.969956724554214,0.9673837263993194,0.9640046372629073,0.9625398047568474,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
86,0.969956724554214,0.9661089594995524,0.9640046372629073,0.9619219860318031,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
87,0.969956724554214,0.9674141198564369,0.9640046372629073,0.9629403224900692,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
88,0.969956724554214,0.9674141198564369,0.9640046372629073,0.9629403224900692,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
89,0.969956724554214,0.9678451543391956,0.9640046372629073,0.9637374669869192,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
90,0.969956724554214,0.966484334874928,0.9640046372629073,0.9623977174209818,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
91,0.969956724554214,0.966484334874928,0.9640046372629073,0.9623977174209818,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
92,0.969956724554214,0.9656222659094107,0.9640046372629073,0.9622116776251257,lr,L16_WD01_asinh_R18_128,false_false,asinh,patient,bigram,min,BloodMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
