model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
LR,train,bacc,0.8351433039564055,0.8474717112754804,0.8351433039564055,0.788199527496629,0.9659110108700218,0.98558;0.98483;0.91413;0.97911,0.4040499580387525,0.22140021872668653,0.018097205015320104,0.8611;0.89885;0.73562;0.845,0.9765;0.97372;0.9001;0.95903
LR,val,bacc,0.8467859594017363,0.8546898079763663,0.8467859594017363,0.7990678028496854,0.9664759993806878,0.98578;0.9807;0.92037;0.97905,0.398406027319132,0.21577769965559493,0.024892040439956343,0.86348;0.89868;0.77262;0.85237,0.97525;0.97628;0.90471;0.96187
LR,test,bacc,0.743,0.743,0.743,0.7355640016994315,0.9441386666666667,0.95676;0.96796;0.88275;0.96908,0.6760716359100694,0.3697134117005437,0.05735837938683121,0.952;0.816;0.444;0.76,0.78667;0.94667;0.95867;0.96533
