model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,macro_f1,0.41407462166137116,0.6101849667100957,0.4282568469656598,0.41407462166137116,0.7808057507099697,0.86742;0.87153;0.47674;0.90753,2.5267849990502165,0.78222838272949,0.33991764774446065,0.29695;0.4133;0.02192;0.98086,0.94365;0.94682;0.98933;0.44036
SVC,val,macro_f1,0.39904389052992884,0.6048744460856721,0.4123640269674149,0.39904389052992884,0.7764363890150522,0.86889;0.86399;0.46835;0.90452,2.556641212551166,0.7925410792485513,0.3444026175601781,0.3018;0.35154;0.01508;0.98103,0.94192;0.94916;0.98977;0.42777
SVC,test,macro_f1,0.3062035683838753,0.382,0.382,0.3062035683838753,0.7092386666666667,0.88853;0.78199;0.33705;0.82938,3.391494580507836,1.236309379568692,0.5498951121272906,0.344;0.188;0.004;0.992,0.95733;0.92;0.99467;0.304
RF,train,macro_f1,0.9335719885927167,0.9492803430552849,0.9408026454913258,0.9335719885927167,0.996614327048922,0.99609;0.998;0.99763;0.99473,0.23040569593342197,0.10642865544057434,0.11425697566832113,0.94899;0.94683;0.91088;0.9565,0.977;0.98884;0.98881;0.97096
RF,val,macro_f1,0.7796720317691715,0.8625369276218612,0.767595118662235,0.7796720317691715,0.9506008479536769,0.97682;0.97226;0.88725;0.96607,0.413510392182841,0.21028238933850704,0.052962009811308136,0.90379;0.79824;0.45244;0.91592,0.93784;0.98175;0.97071;0.89892
RF,test,macro_f1,0.5730751571472011,0.626,0.626,0.5730751571472011,0.920636,0.94645;0.88997;0.89698;0.94914,0.8563866679304838,0.4856080923548191,0.07911084192944566,0.98;0.452;0.148;0.924,0.684;0.97733;0.99467;0.84533
LR,train,macro_f1,0.7173691060276414,0.7774551945587164,0.766399835579237,0.7173691060276414,0.9361098613770481,0.96493;0.96216;0.86134;0.95601,0.5913428144008188,0.3131370276244674,0.03217768209526571,0.79692;0.82219;0.67604;0.77046,0.96234;0.9659;0.85299;0.93942
LR,val,macro_f1,0.7218467341449262,0.7820347119645494,0.7677759944955301,0.7218467341449262,0.9382161900485824,0.96505;0.96337;0.86798;0.95647,0.5811150825417066,0.30705289846041517,0.03525608627207935,0.79979;0.82291;0.66937;0.77904,0.96316;0.96927;0.85496;0.93792
LR,test,macro_f1,0.7082588537855703,0.714,0.714,0.7082588537855703,0.9215026666666666,0.93519;0.89478;0.9055;0.95054,0.7309326193794894,0.41549350176201705,0.068601743566478,0.952;0.528;0.572;0.804,0.77467;0.96533;0.944;0.93467
