model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,macro_f1,0.5923659704010403,0.5713552940693702,0.7440505222715249,0.5923659704010403,0.9486549307827447,0.99279;0.99168;0.84569;0.96446,0.35910016384417087,0.18575704379192773,0.32437249602609775,0.83506;0.94164;0.96918;0.23033,0.98655;0.95522;0.58982;0.9959
SVC,val,macro_f1,0.5728839306042921,0.5528064992614475,0.7155849157980838,0.5728839306042921,0.9371044234458127,0.98675;0.97084;0.83011;0.96072,0.41632281371470753,0.20719287565331507,0.33692310831248656,0.81107;0.88458;0.94084;0.22585,0.97905;0.95256;0.57864;0.99405
SVC,test,macro_f1,0.6513897133022302,0.668,0.668,0.6513897133022302,0.92576,0.95614;0.94612;0.84631;0.95447,1.0920788583481051,0.513870988057658,0.2298720054136218,0.936;0.784;0.616;0.336,0.824;0.93733;0.812;0.984
RF,train,macro_f1,0.9539573605792537,0.9661663777096136,0.9572229163701269,0.9539573605792537,0.9981674276735986,0.99792;0.99899;0.99842;0.99734,0.1946967648908989,0.08370490473294113,0.11061377400384896,0.96362;0.95907;0.93062;0.97558,0.98631;0.9926;0.99259;0.97841
RF,val,macro_f1,0.8224796262949412,0.8929098966026587,0.8053754005389749,0.8224796262949412,0.9665349104922984,0.98637;0.98072;0.92182;0.97723,0.34128163053480287,0.1703622016876466,0.06607565379757256,0.92502;0.83789;0.51276;0.94583,0.95345;0.98855;0.97783;0.91308
RF,test,macro_f1,0.5921290906035281,0.641,0.641,0.5921290906035281,0.9344493333333334,0.96037;0.94874;0.87133;0.95736,0.8252812260620195,0.4670017955221279,0.07811154802280404,0.984;0.576;0.12;0.884,0.652;0.98933;1.0;0.88
LR,train,macro_f1,0.788199527496629,0.8474717112754804,0.8351433039564055,0.788199527496629,0.9659110108700218,0.98558;0.98483;0.91413;0.97911,0.4040499580387525,0.22140021872668653,0.018097205015320104,0.8611;0.89885;0.73562;0.845,0.9765;0.97372;0.9001;0.95903
LR,val,macro_f1,0.7990678028496854,0.8546898079763663,0.8467859594017363,0.7990678028496854,0.9664759993806878,0.98578;0.9807;0.92037;0.97905,0.398406027319132,0.21577769965559493,0.024892040439956343,0.86348;0.89868;0.77262;0.85237,0.97525;0.97628;0.90471;0.96187
LR,test,macro_f1,0.7355640016994315,0.743,0.743,0.7355640016994315,0.9441386666666667,0.95676;0.96796;0.88275;0.96908,0.6760716359100694,0.3697134117005437,0.05735837938683121,0.952;0.816;0.444;0.76,0.78667;0.94667;0.95867;0.96533
