model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,ece,0.33991764774446065,0.6101849667100957,0.4282568469656598,0.41407462166137116,0.7808057507099697,0.86742;0.87153;0.47674;0.90753,2.5267849990502165,0.78222838272949,0.33991764774446065,0.29695;0.4133;0.02192;0.98086,0.94365;0.94682;0.98933;0.44036
SVC,val,ece,0.3444026175601781,0.6048744460856721,0.4123640269674149,0.39904389052992884,0.7764363890150522,0.86889;0.86399;0.46835;0.90452,2.556641212551166,0.7925410792485513,0.3444026175601781,0.3018;0.35154;0.01508;0.98103,0.94192;0.94916;0.98977;0.42777
SVC,test,ece,0.5498951121272906,0.382,0.382,0.3062035683838753,0.7092386666666667,0.88853;0.78199;0.33705;0.82938,3.391494580507836,1.236309379568692,0.5498951121272906,0.344;0.188;0.004;0.992,0.95733;0.92;0.99467;0.304
RF,train,ece,0.09928355710185342,0.8972783323245483,0.8825452668301373,0.8571234774986392,0.9876271551647701,0.98874;0.99428;0.98237;0.98512,0.3327638738016985,0.16723928631983323,0.09928355710185342,0.90649;0.89983;0.821;0.90286,0.96426;0.98;0.9595;0.95438
RF,val,ece,0.060997667842341216,0.8491506646971935,0.7860937815129023,0.7759840925827521,0.9492887665298025,0.97495;0.97171;0.88605;0.96445,0.44716176730865087,0.23126797894189452,0.060997667842341216,0.88525;0.8185;0.56265;0.87798,0.94403;0.97742;0.94393;0.9199
RF,test,ece,0.04886278228988351,0.665,0.665,0.6389061289768034,0.9231306666666667,0.94857;0.89467;0.90005;0.94924,0.7916432581340226,0.4490477676057857,0.04886278228988351,0.972;0.524;0.288;0.876,0.71467;0.964;0.984;0.89067
LR,train,ece,0.023484979968299458,0.7777219241462089,0.7675634887165889,0.717494674551572,0.9361222162327678,0.96497;0.96177;0.86155;0.9562,0.588399456793648,0.3125457622759707,0.023484979968299458,0.79683;0.82747;0.67604;0.76991,0.96315;0.96459;0.85374;0.93983
LR,val,ece,0.027417893210921425,0.7821270310192023,0.769165346103697,0.7218034668758004,0.9384311047444659,0.96504;0.96339;0.86844;0.95685,0.577191495679758,0.3059030876046861,0.027417893210921425,0.79925;0.82379;0.67517;0.77845,0.96484;0.96793;0.85476;0.93861
LR,test,ece,0.06206811938462764,0.712,0.712,0.7054707141269883,0.9215333333333333,0.93544;0.89509;0.90489;0.95072,0.7270157310114711,0.4117688799384552,0.06206811938462764,0.94;0.536;0.552;0.82,0.78133;0.96133;0.94667;0.92667
