model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,auroc,0.7808057507099697,0.6101849667100957,0.4282568469656598,0.41407462166137116,0.7808057507099697,0.86742;0.87153;0.47674;0.90753,2.5267849990502165,0.78222838272949,0.33991764774446065,0.29695;0.4133;0.02192;0.98086,0.94365;0.94682;0.98933;0.44036
SVC,val,auroc,0.7764363890150522,0.6048744460856721,0.4123640269674149,0.39904389052992884,0.7764363890150522,0.86889;0.86399;0.46835;0.90452,2.556641212551166,0.7925410792485513,0.3444026175601781,0.3018;0.35154;0.01508;0.98103,0.94192;0.94916;0.98977;0.42777
SVC,test,auroc,0.7092386666666667,0.382,0.382,0.3062035683838753,0.7092386666666667,0.88853;0.78199;0.33705;0.82938,3.391494580507836,1.236309379568692,0.5498951121272906,0.344;0.188;0.004;0.992,0.95733;0.92;0.99467;0.304
RF,train,auroc,0.9982206894727315,0.9647198826389815,0.9528641807494158,0.9531682000306306,0.9982206894727315,0.99796;0.9988;0.99893;0.9972,0.19268614429911293,0.08563287004838892,0.11073863411944676,0.96557;0.9577;0.91398;0.97421,0.98347;0.99233;0.99468;0.976
RF,val,auroc,0.9515616344076748,0.8660450516986706,0.7571534674055388,0.777486493249198,0.9515616344076748,0.97723;0.97392;0.88861;0.96649,0.40093507971134507,0.20450973395396724,0.04314184201005377,0.90863;0.78414;0.40487;0.93097,0.93531;0.98474;0.97864;0.88982
RF,test,auroc,0.92164,0.608,0.608,0.5450150284252044,0.92164,0.94966;0.89202;0.89723;0.94765,0.9048462397855275,0.5116686386659198,0.1104795064415084,0.98;0.42;0.108;0.924,0.672;0.98133;0.99733;0.82667
LR,train,auroc,0.9361251207125323,0.7776911476553443,0.7674817422583771,0.7174588971239969,0.9361251207125323,0.96497;0.96176;0.86157;0.9562,0.5883877544388134,0.31252642158879845,0.023526797616575775,0.79677;0.82757;0.67565;0.76993,0.96314;0.96461;0.85372;0.93979
LR,val,auroc,0.9384347492449067,0.7818500738552437,0.7687775520766551,0.7214913795133778,0.9384347492449067,0.96504;0.96339;0.86846;0.95686,0.5771667635839207,0.30587629071463496,0.0276363360325688,0.79925;0.82379;0.67401;0.77806,0.9647;0.96793;0.85446;0.93879
LR,test,auroc,0.9215359999999999,0.713,0.713,0.7065659841825875,0.9215359999999999,0.93546;0.89514;0.90482;0.95073,0.726932462494899,0.41171076903189746,0.06368181905706509,0.94;0.54;0.552;0.82,0.78267;0.96133;0.94667;0.92667
