model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,ece,0.32437249602609775,0.5713552940693702,0.7440505222715249,0.5923659704010403,0.9486549307827447,0.99279;0.99168;0.84569;0.96446,0.35910016384417087,0.18575704379192773,0.32437249602609775,0.83506;0.94164;0.96918;0.23033,0.98655;0.95522;0.58982;0.9959
SVC,val,ece,0.33692310831248656,0.5528064992614475,0.7155849157980838,0.5728839306042921,0.9371044234458127,0.98675;0.97084;0.83011;0.96072,0.41632281371470753,0.20719287565331507,0.33692310831248656,0.81107;0.88458;0.94084;0.22585,0.97905;0.95256;0.57864;0.99405
SVC,test,ece,0.2298720054136218,0.668,0.668,0.6513897133022302,0.92576,0.95614;0.94612;0.84631;0.95447,1.0920788583481051,0.513870988057658,0.2298720054136218,0.936;0.784;0.616;0.336,0.824;0.93733;0.812;0.984
RF,train,ece,0.10960335781149684,0.9447254224073371,0.9333373095234224,0.9215454155745183,0.9954967668031957,0.99558;0.99801;0.99404;0.99437,0.240650313216292,0.11015749736410123,0.10960335781149684,0.94314;0.94096;0.89399;0.95526,0.98008;0.98937;0.9812;0.97088
RF,val,ece,0.07186890147675701,0.8867245199409158,0.8123615462481214,0.818292792156521,0.9654584244030101,0.98534;0.98022;0.9202;0.97607,0.35997396888726035,0.18010662355759866,0.07186890147675701,0.91346;0.84758;0.55684;0.93156,0.95584;0.98567;0.9673;0.92165
RF,test,ece,0.051042024132070915,0.66,0.66,0.6283714139904654,0.9338813333333333,0.96151;0.94644;0.86936;0.95821,0.7961763901808485,0.44942445947700577,0.051042024132070915,0.988;0.588;0.2;0.864,0.65867;0.98933;0.996;0.90267
LR,train,ece,0.018097205015320104,0.8474717112754804,0.8351433039564055,0.788199527496629,0.9659110108700218,0.98558;0.98483;0.91413;0.97911,0.4040499580387525,0.22140021872668653,0.018097205015320104,0.8611;0.89885;0.73562;0.845,0.9765;0.97372;0.9001;0.95903
LR,val,ece,0.024892040439956343,0.8546898079763663,0.8467859594017363,0.7990678028496854,0.9664759993806878,0.98578;0.9807;0.92037;0.97905,0.398406027319132,0.21577769965559493,0.024892040439956343,0.86348;0.89868;0.77262;0.85237,0.97525;0.97628;0.90471;0.96187
LR,test,ece,0.05735837938683121,0.743,0.743,0.7355640016994315,0.9441386666666667,0.95676;0.96796;0.88275;0.96908,0.6760716359100694,0.3697134117005437,0.05735837938683121,0.952;0.816;0.444;0.76,0.78667;0.94667;0.95867;0.96533
