split,val_selected_individual,val_selected_acc,val_selected_bacc,val_selected_macro_f1,val_selected_auroc,val_selected_ece,best_acc,average_acc,std_acc,best_bacc,average_bacc,std_bacc,best_macro_f1,average_macro_f1,std_macro_f1,best_auroc,average_auroc,std_auroc,best_ece,average_ece,std_ece
train,BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1104,0.6450372104691028,0.664258396983431,0.6320631191302983,0.9082728036825642,0.5037909577712176,0.6928672965967054,0.5791819968224768,0.07633298986021686,0.664258396983431,0.5810607169232382,0.06629469251285258,0.6320631191302983,0.508459783670068,0.0893497991361437,0.9082728036825642,0.8168551010235633,0.04056917505381829,0.14474032944126866,0.3293075865027249,0.10149185218628931
val,BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1104,0.6764018691588785,0.7036917731325159,0.6642207236982065,0.9150495832886544,0.5349891048370979,0.7032710280373832,0.5934214369158878,0.08050913044692902,0.7036917731325159,0.5957822951381858,0.07154794749471609,0.6642207236982065,0.520822377436827,0.09419161062808325,0.9150495832886544,0.819960595640792,0.04272767015904216,0.14070675343262662,0.3424635134125814,0.10863732135906957
test,BloodMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__1104,0.645717626425022,0.6732433360458709,0.6354930843685934,0.9041009364948236,0.5044269624785502,0.6866413329435838,0.5794358374744226,0.07612589685481304,0.6732433360458709,0.5811447429439444,0.06783580872060603,0.6354930843685934,0.5090633106582659,0.08958728031494072,0.9041009364948236,0.8165337668389524,0.04059942732910694,0.14514948476579664,0.3288400045557803,0.10438460255057433
