module_key,checkpoint_path,rf_importance,rf_importance_rank,mean_cs_unigram_avg_single,mean_doctor_unigram_avg_single,mean_patient_unigram_avg_single
1_12,BloodMNIST/L16_WD01_asinh_R18_128/1_12/L16_WD01_asinh_R18_128__11/checkpoint_0.pickle,0.005885235712043036,33,8.608187134502923,5.654970760233918,3.87719298245614
1_15,BloodMNIST/L16_WD01_asinh_R18_128/1_15/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.005884217571222314,34,8.506944444444445,5.472222222222221,3.9791666666666674
1_16,BloodMNIST/L16_WD01_asinh_R18_128/1_16/L16_WD01_asinh_R18_128__3/checkpoint_0.pickle,0.005848891431652388,35,8.412698412698413,5.531746031746032,3.873015873015873
1_7,BloodMNIST/L16_WD01_asinh_R18_128/1_7/L16_WD01_asinh_R18_128__2/checkpoint_0.pickle,0.005583760660848425,36,8.645138888888889,5.738888888888889,4.0055555555555555
1_11,BloodMNIST/L16_WD01_asinh_R18_128/1_11/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.005446763380119897,37,8.370370370370372,5.5740740740740735,3.7777777777777772
1_14,BloodMNIST/L16_WD01_asinh_R18_128/1_14/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.0049919109702995365,38,8.694444444444443,6.388888888888888,4.986111111111112
1_3,BloodMNIST/L16_WD01_asinh_R18_128/1_3/L16_WD01_asinh_R18_128__12/checkpoint_0.pickle,0.004797739503182096,39,9.144444444444446,6.855555555555554,5.188888888888889
1_4,BloodMNIST/L16_WD01_asinh_R18_128/1_4/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.004771433112652355,40,8.185185185185185,5.2444444444444445,3.377777777777778
1_10,BloodMNIST/L16_WD01_asinh_R18_128/1_10/L16_WD01_asinh_R18_128__1/checkpoint_0.pickle,0.004595435725700351,41,8.918128654970761,6.315789473684211,4.590643274853801
1_2,BloodMNIST/L16_WD01_asinh_R18_128/1_2/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.004466525643214734,42,8.657828282828284,6.181818181818182,4.808080808080809
1_6,BloodMNIST/L16_WD01_asinh_R18_128/1_6/L16_WD01_asinh_R18_128__13/checkpoint_0.pickle,0.004402822189028457,43,8.530864197530866,6.0246913580246915,4.814814814814814
1_8,BloodMNIST/L16_WD01_asinh_R18_128/1_8/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.004372667254299074,44,8.660818713450292,6.140350877192983,4.76608187134503
1_5,BloodMNIST/L16_WD01_asinh_R18_128/1_5/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.004096979115534296,45,8.722222222222221,6.322222222222221,4.433333333333333
1_7,BloodMNIST/L16_WD01_asinh_R18_128/1_7/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.003929868685792514,46,8.6,6.007407407407408,4.548148148148147
1_3,BloodMNIST/L16_WD01_asinh_R18_128/1_3/L16_WD01_asinh_R18_128__10/checkpoint_0.pickle,0.003929569006418367,47,8.871794871794874,6.145299145299147,4.615384615384615
1_1,BloodMNIST/L16_WD01_asinh_R18_128/1_1/L16_WD01_asinh_R18_128__4/checkpoint_0.pickle,0.00392422228463897,48,8.393518518518519,5.740740740740742,4.155555555555555
