epoch,loss,val_loss,accuracy,val_accuracy,balanced_accuracy,val_balanced_accuracy
0,2.421132659280537,2.42675018834858,0.06299168851948976,0.06667333066773291,0.062299182490135524,0.0669078839967945
1,0.13853849426315576,0.0540981830530813,0.9542979687986133,0.9822071171531388,0.9552442483321438,0.98249150078413
2,0.05982023397018244,0.040024715779972575,0.9803657940352904,0.9872051179528188,0.9806279084243443,0.9865497320567813
3,0.04827983198185988,0.02811243921601739,0.9840437352771234,0.9905037984806078,0.9842302434523538,0.9909420484110895
4,0.036554438998715987,0.03256259058884791,0.9873772167651895,0.989204318272691,0.9875486349314192,0.9891349078209937
5,0.03088470502758647,0.032841955430385636,0.9897217654117961,0.9902039184326269,0.989944553500685,0.9892251664723486
6,0.033090667382526424,0.024342750130248805,0.9890550691141828,0.9934026389444223,0.9892800597374719,0.9934698700221869
7,0.028390690199346976,0.019485318734616293,0.9906884750433352,0.9946021591363454,0.9908162327903867,0.9946079390888313
8,0.02305409688800752,0.03317812739646897,0.9923552157873683,0.9883046781287484,0.9924460576339847,0.9892097066550615
9,0.023258155428793406,0.017504060385106015,0.9919996444286413,0.9945021991203519,0.9921087195069203,0.9944944694873958
10,0.020527368568760196,0.04159716377016164,0.993044135294902,0.9887045181927229,0.9932039662543263,0.9883753422283461
11,0.019440816798644324,0.02908044829756105,0.9935441575181119,0.9905037984806078,0.9936128481442454,0.9909882823214838
12,0.021288657686202663,0.019196217310656218,0.9926552291212942,0.9939024390243902,0.9927689514506564,0.9939334111225959
13,0.0168840981650393,0.01540758463143349,0.9944330859149295,0.9947021191523391,0.9944859471982812,0.9947523946091112
14,0.015118119128661381,0.02334371543690854,0.995110893817503,0.992203118752499,0.9952056644826429,0.9923185809265824
15,0.0194565331663589,0.019857228296797355,0.9936663851726744,0.993702518992403,0.9936898504057299,0.9937188920779723
16,0.012428302326136533,0.01503296709600471,0.9956886972754344,0.9950019992003198,0.9957298177887135,0.9948962547521124
17,0.01496906668485725,0.02381803076200393,0.9951997866571848,0.9932027189124351,0.9952231819033172,0.9934283625593664
18,0.013873411628119925,0.013787699700212154,0.9956220276456731,0.9962015193922431,0.9956869529709002,0.9960540062922362
19,0.012802605169871906,0.0184312931402344,0.9958887061647185,0.9944022391043582,0.9959190283112195,0.994597297135178
20,0.01223293514726054,0.014283720552116954,0.9961442730788035,0.9963014794082367,0.9961251032836578,0.9961334669885242
21,0.011850165929812117,0.01665570196665463,0.9957442553002356,0.9954018392642943,0.9957991341867286,0.9953802029365316
22,0.014433112011622942,0.011813584945258833,0.995510911596071,0.9963014794082367,0.995517209517871,0.9963196973826379
23,0.01200666119002163,0.014974857947496069,0.9961776078936841,0.9961015593762494,0.9962673815339694,0.9958881294284831
24,0.012329354083311109,0.02257456756630739,0.9960998266589626,0.9930027988804478,0.9961133693289744,0.9933541934718652
25,0.010436915775718869,0.011525740871196243,0.996677630116894,0.9965013994402239,0.9966776201620602,0.9965632829213694
26,0.01040894442998662,0.013407464899191233,0.9965442908573714,0.9957017193122751,0.9965802701565283,0.9956756946415335
27,0.009440886753796007,0.016291442528658988,0.9968887506111382,0.9965013994402239,0.9969297410204973,0.996338607251075
28,0.01159272745658641,0.01808604349109267,0.996366505178008,0.9949020391843263,0.9964274475838469,0.995015573196431
29,0.010742420365249,0.019137708243073488,0.9964776212276101,0.9955017992802879,0.9964953339779083,0.995651161084013
30,0.008755832520461793,0.012382008858480868,0.9973887728343482,0.9965013994402239,0.9974003802149327,0.9965790079931109
