model,split,metric_of_interest,primary,accuracy,bacc,macro_f1,auroc,auroc_per_class,log_loss,brier,ece,sensitivity,specificity
SVC,train,auroc,0.9988489252148436,0.9657095870927597,0.9659721424463852,0.9650529195888117,0.9988489252148436,0.99999;1.0;0.99871;0.99997;0.99894;0.99885;0.99788;0.99689;0.99841,0.10038836521950793,0.0496362201968506,0.00759560297225151,0.99637;0.99947;0.95994;0.99404;0.9649;0.94837;0.93584;0.94224;0.95258,0.99985;0.99999;0.99563;0.99992;0.99446;0.99688;0.99233;0.98887;0.99358
SVC,val,auroc,0.9979540506824434,0.9533186725309876,0.9528489341655648,0.9519230025790405,0.9979540506824434,0.99994;0.99994;0.99696;0.99995;0.9967;0.99856;0.9967;0.99596;0.99689,0.137277204581784,0.06691702745970897,0.006183040504335661,0.99039;0.99622;0.94965;0.98789;0.94494;0.94387;0.90764;0.91579;0.93925,0.999;0.99933;0.99288;0.99943;0.99232;0.99595;0.98839;0.98906;0.99125
SVC,test,auroc,0.9894299989313549,0.8997214484679665,0.8828248104851415,0.8753454842410058,0.9894299989313549,0.99418;1.0;0.99264;0.99875;0.99461;0.98317;0.9903;0.95967;0.99155,0.3177594880124295,0.1471088650608104,0.02122907114667773,0.92526;1.0;0.90855;0.96215;0.91014;0.75338;0.88394;0.69121;0.91079,0.99795;0.99984;0.98816;0.9971;0.9917;0.98087;0.98323;0.96997;0.97999
RF,train,auroc,0.9999360368347365,0.9925107782568114,0.9926301660293645,0.992323955373357,0.9999360368347365,1.0;1.0;0.99995;1.0;0.99993;0.99995;0.99989;0.99984;0.99988,0.11334431091951583,0.03944995940499568,0.08555937228359689,0.99872;0.99979;0.99015;0.99721;0.99126;0.98925;0.98821;0.99011;0.98898,0.99968;0.99986;0.99936;0.99982;0.99851;0.9994;0.99839;0.99788;0.9987
RF,val,auroc,0.996660832706367,0.9379248300679728,0.9366677558603457,0.936369491126372,0.996660832706367,0.9999;0.99995;0.99636;0.99985;0.99492;0.99679;0.99431;0.99235;0.99553,0.2392308890754557,0.11128603766180285,0.08014104378456358,0.98751;0.99716;0.9184;0.98183;0.92697;0.93131;0.86887;0.88708;0.93087,0.99833;0.99899;0.99051;0.99876;0.98914;0.99145;0.98904;0.98683;0.98705
RF,test,auroc,0.9899280197457241,0.8955431754874652,0.8763999879485367,0.8678273850832786,0.9899280197457241,0.99895;1.0;0.9939;0.99937;0.99697;0.98011;0.99221;0.95526;0.99257,0.37685280514998803,0.1814530927137577,0.10526516698258465,0.91704;1.0;0.92625;0.97161;0.90725;0.73311;0.88799;0.62708;0.91727,0.99795;0.99826;0.98714;0.99756;0.99544;0.97328;0.98711;0.9676;0.98033
LR,train,auroc,0.9950543253857155,0.9239743988621717,0.9233472493795902,0.9222569677800215,0.9950543253857155,0.9999;0.99988;0.99256;0.99984;0.99439;0.9949;0.99116;0.98803;0.99482,0.22679580462041127,0.11460818853147692,0.015186783866393789,0.98986;0.9899;0.89768;0.98721;0.90395;0.90543;0.87015;0.85565;0.91028,0.99855;0.99855;0.98752;0.99888;0.98773;0.98958;0.98452;0.98123;0.98802
LR,val,auroc,0.9952834892732039,0.925529788084766,0.9247673017260707,0.9236022875886545,0.9952834892732039,0.99981;0.99982;0.9932;0.99988;0.99401;0.99449;0.9917;0.98999;0.99465,0.2246449464641367,0.1122882278287565,0.015865358652313838,0.98367;0.98108;0.91319;0.98443;0.90899;0.90842;0.86431;0.8689;0.90992,0.99821;0.99765;0.98735;0.99808;0.98705;0.9904;0.98488;0.98382;0.98892
LR,test,auroc,0.9836993387513462,0.8891364902506964,0.8711570787514761,0.8625230912791968,0.9836993387513462,0.99852;1.0;0.99464;0.99969;0.99278;0.92351;0.98989;0.96215;0.99212,0.4022134832839839,0.16488264689398324,0.00550632265038303,0.93946;1.0;0.91445;0.97476;0.91498;0.67568;0.89069;0.66746;0.86294,0.99726;0.99416;0.98582;0.99725;0.9847;0.98148;0.97515;0.97559;0.98537
