epoch,loss,val_loss,accuracy,val_accuracy,balanced_accuracy,val_balanced_accuracy
0,2.1983775907720196,2.192199222949065,0.12469443086359394,0.1172530987604958,0.12704450969259587,0.11959469263702845
1,0.16958993828965852,0.027452195893640948,0.9521756522512111,0.9919032387045182,0.9529478621284458,0.9921402342661805
2,0.04149297052844773,0.01824694547931798,0.9861104937997245,0.9939024390243902,0.9862565528422694,0.9941905949068356
3,0.02782228627984797,0.014191040816139288,0.9906440286234944,0.9954018392642943,0.9908157944319542,0.995375149039586
4,0.021915795577910138,0.011910091072726088,0.9929774656651407,0.9966013594562175,0.9930518918564181,0.9966663202442808
5,0.01912099007934185,0.009732064748944783,0.9936552735677141,0.9973010795681727,0.9937896652789114,0.9973183206839246
6,0.014505481195546559,0.011893615522077445,0.9953886839415085,0.9967013194722111,0.9953815469956749,0.9968779347652023
7,0.010823876835664787,0.013239386818054817,0.9964553980176897,0.9963014794082367,0.9964775778884728,0.9964860002081772
8,0.012497610992301773,0.01303018515379202,0.995866482954798,0.9957017193122751,0.9959496858377074,0.9960190925119081
9,0.011160783987515337,0.010796098392315266,0.9963553935730477,0.9969012395041983,0.9964476409649505,0.9967695498314816
10,0.009251584046798832,0.010346604071733285,0.9970332014756211,0.9972011195521792,0.9970416182747227,0.9972157727622224
11,0.008949244146338069,0.01212341542497593,0.9973443264145073,0.9969012395041983,0.9973867304383768,0.9970406081255975
12,0.009014069828151682,0.006791367990578093,0.9971887639450642,0.9978008796481408,0.9972669300928287,0.9977217019865721
13,0.008994497556310233,0.010912262456642776,0.9969887550557802,0.9968012794882047,0.9969863813926323,0.9968722861264369
14,0.00807427144839956,0.010600224770352346,0.9973998844393084,0.9973010795681727,0.9974077470892377,0.9971108591064107
15,0.006123845182362158,0.011990295053541255,0.9983554824658873,0.997001199520192,0.9983888228785784,0.9970204965070258
16,0.008175613697607442,0.01092507456262104,0.9973443264145073,0.9975009996001599,0.9973867990256193,0.9975815096733975
17,0.007529260904216173,0.010535960755601781,0.9975554469087515,0.9975009996001599,0.997579918359802,0.997464311067755
18,0.006780055127117328,0.012913740825046543,0.9979554646873194,0.9963014794082367,0.9979621183507814,0.9964863774148456
19,0.006165787863394839,0.00842109764265161,0.9980999155518023,0.9976009596161536,0.9980948473481747,0.9974672903955031
20,0.006246114160392599,0.01482068928258746,0.9980554691319614,0.9963014794082367,0.9980351324122874,0.996404535543086
21,0.006151335617659868,0.01143092516048557,0.9980221343170808,0.9974010395841664,0.9980615342650494,0.9973626982317944
22,0.005827660495094423,0.011515253428939502,0.998233254811325,0.9972011195521792,0.9982785360141455,0.9972338827562987
23,0.006307872407606058,0.009341446339476351,0.9982443664162852,0.9984006397441023,0.9982472764926817,0.998377840927485
24,0.00561910316378935,0.007528463634746116,0.998133250366683,0.9978008796481408,0.998155079269679,0.9978388083110994
25,0.005686939245735797,0.008033746303651617,0.9981665851815636,0.998000799680128,0.9981946527905315,0.998154153168929
26,0.00511425390359826,0.009590738838384362,0.9984110404906885,0.9975009996001599,0.9984557850307447,0.9974159636704544
27,0.005095325095624541,0.011018194399345092,0.9983110360460465,0.9974010395841664,0.9983582002912033,0.9974504870492537
28,0.00555102085817083,0.006447104766580616,0.998288812836126,0.9984006397441023,0.9983009780616494,0.9984215160410584
29,0.0052145721629976265,0.004346445868456843,0.9984999333303702,0.999000399840064,0.99853696062132,0.9990528345060858
30,0.004044761410876641,0.014676575238754253,0.9987443886394951,0.9967013194722111,0.9987513943664218,0.9965232363472476
