class,sensitivity,specificity,support
1,0.28397212543554007,0.8887291789972098,1148
2,0.31017770597738287,0.9243282615733247,619
3,0.680672268907563,0.9230210016155089,595
4,0.74,0.9155555555555556,600
5,0.0,1.0,1088
6,0.6264957264957265,0.9435832274459974,1170
7,0.0,1.0,2986
8,0.8093812375249501,0.8689551490854422,1002
9,0.0,1.0,1022
10,0.6172208013640239,0.9223013048635824,1173
11,0.4211195928753181,0.8880119266859599,1572
