split,val_selected_individual,val_selected_acc,val_selected_bacc,val_selected_macro_f1,val_selected_auroc,val_selected_ece,best_acc,average_acc,std_acc,best_bacc,average_bacc,std_bacc,best_macro_f1,average_macro_f1,std_macro_f1,best_auroc,average_auroc,std_auroc,best_ece,average_ece,std_ece
train,ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4202,0.3311753371868979,0.4080944962345913,0.2941247110366373,0.7049277192494094,0.19362592488687808,0.3311753371868979,0.3311753371868979,0.0,0.4080944962345913,0.4080944962345913,0.0,0.2941247110366373,0.2941247110366373,0.0,0.7049277192494094,0.7049277192494094,0.0,0.19362592488687808,0.19362592488687808,0.0
val,ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4202,0.4180602006688963,0.4773474049311353,0.3695845538967127,0.761309786166548,0.27803766144790454,0.4180602006688963,0.4180602006688963,0.0,0.4773474049311353,0.4773474049311353,0.0,0.3695845538967127,0.3695845538967127,0.0,0.761309786166548,0.761309786166548,0.0,0.27803766144790454,0.27803766144790454,0.0
test,ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4202,0.30428432327166505,0.37410528651497976,0.27093625844602026,0.6950901507122776,0.16716973073107502,0.30428432327166505,0.30428432327166505,0.0,0.37410528651497976,0.37410528651497976,0.0,0.27093625844602026,0.27093625844602026,0.0,0.6950901507122776,0.6950901507122776,0.0,0.16716973073107502,0.16716973073107502,0.0
