individual,acc,bacc,macro_f1,auroc,ece
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4001,0.12262042389210019,0.16063952436750234,0.05885778283382033,0.7731715268424224,0.042265135157524836
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4002,0.46211946050096336,0.3976932467615552,0.3248533056014371,0.8104500720747645,0.2936032522004313
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4003,0.11630057803468208,0.14787568513286628,0.06950598510896304,0.6955472787315184,0.06675658086176219
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4004,0.13202312138728323,0.17761626993625632,0.07063740413838965,0.7825641039294721,0.0371522750465076
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4101,0.17541425818882467,0.2500035331288533,0.11160901166340587,0.7715511259302428,0.016889451663239328
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4102,0.1223121387283237,0.1581572708390156,0.05984838771093419,0.6929390197771572,0.05676495647951182
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4103,0.15267822736030828,0.2234895451342596,0.1066814426115502,0.7806166685270839,0.050428632276270265
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4104,0.12200385356454721,0.17337230907052853,0.0781624823299469,0.7329906685493864,0.03056217507027592
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4201,0.12393063583815028,0.1616388531151171,0.050715327828197876,0.7730593622051536,0.02496416565749185
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4202,0.3311753371868979,0.4080944962345913,0.2941247110366373,0.7049277192494094,0.19362592488687808
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4203,0.13302504816955685,0.1780749696894544,0.09188372356069376,0.7416129280611249,0.02499787007852755
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4204,0.45001926782273605,0.4325007862779427,0.3498092558893748,0.7453189930735694,0.30768670117998026
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4301,0.4729865125240848,0.40825913130350827,0.3499206705620623,0.7746404610250337,0.31234560950728674
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4302,0.12308285163776493,0.16100401789693305,0.052953509380978404,0.6282316394361853,0.055705950789361074
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4303,0.12277456647398843,0.15655565372271868,0.07045916913773324,0.6646846398973101,0.09356475400656884
ORGANCMNIST/MAGE_ALONE_20H/mage_imgcls/MAGE_ALONE_20H__4304,0.12046242774566474,0.15504634303420298,0.046060362826132524,0.7715984410674932,0.03187306355494052
