k,val_front,val_raw,test_selected,test_raw,algorithm,trial_id,suffix,act,audience,gram,reducer,stats_file,rank_mode
115,0.9511672298282273,0.9499406075338799,0.8647798325009044,0.8639951385004513,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
116,0.9511672298282273,0.9480785763294434,0.8647798325009044,0.8647923922180634,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
117,0.9511672298282273,0.9484060737093696,0.8647798325009044,0.8641731818396952,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
118,0.9511672298282273,0.9509532965189734,0.8647798325009044,0.8682719234963283,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
119,0.9511672298282273,0.9489139317433349,0.8647798325009044,0.8675787451857357,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
120,0.9511672298282273,0.9489139317433349,0.8647798325009044,0.8675787451857357,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
121,0.9511672298282273,0.9511239944774296,0.8647798325009044,0.867376878112083,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
122,0.9545666446395594,0.9545666446395594,0.8683072933287951,0.8683072933287951,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
123,0.9545666446395594,0.9529585220438603,0.8683072933287951,0.8692367235287266,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
124,0.9545666446395594,0.9529585220438603,0.8683072933287951,0.8692367235287266,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
125,0.955972220814228,0.955972220814228,0.865994308038753,0.865994308038753,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
126,0.955972220814228,0.9550404082177151,0.865994308038753,0.868095250985683,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
127,0.955972220814228,0.9534448239810224,0.865994308038753,0.8694734406555829,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
128,0.955972220814228,0.9534448239810224,0.865994308038753,0.8694392829533328,lr,L16_WD01_asinh_R18_128,false_false,asinh,cs,unigram,mean,ORGANCMNIST/L16_WD01_asinh_R18_128/best_modules_boost_0/asinh/best_modules_program_stats_bestsfalse_false.csv,interpretability_then_feature_importance
